äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
äärmine, äärmise, äärmist, äärmisesse|äärmisse, äärmiste, äärmisi|äärmiseid
äärmuslik, äärmusliku, äärmuslikku, äärmuslikusse|äärmuslikku, äärmuslike|äärmuslikkude, äärmuslikke|äärmuslikkusid
aastane, aastase, aastast, aastasesse|aastasse, aastaste, aastasi|aastaseid
aateline, aatelise, aatelist, aatelisesse|aatelisse, aateliste, aatelisi
äbar, äbara, äbarat, äbarasse, äbarate, äbaraid
äbarik, äbariku, äbarikku, äbarikusse|äbarikku, äbarike|äbarikkude, äbarikke|äbarikkusid
abistav, abistava, abistavat, abistavasse, abistavate, abistavaid
abitu, abitu, abitut, abitusse, abitute, abituid
ablas, apla, ablast, aplasse, ablaste, aplaid
abnormne, abnormse, abnormset, abnormsesse, abnormsete, abnormseid
abrasiivne, abrasiivse, abrasiivset, abrasiivsesse, abrasiivsete, abrasiivseid
absoluutne, absoluutse, absoluutset, absoluutsesse, absoluutsete, absoluutseid
abstraktne, abstraktse, abstraktset, abstraktsesse, abstraktsete, abstraktseid
absurdne, absurdse, absurdset, absurdsesse, absurdsete, absurdseid
adekvaatne, adekvaatse, adekvaatset, adekvaatsesse, adekvaatsete, adekvaatseid
administratiivne, administratiivse, administratiivset, administratiivsesse, administratiivsete, administratiivseid
aeglane, aeglase, aeglast, aeglasesse|aeglasse, aeglaste, aeglasi|aeglaseid
aegne, aegse, aegset, aegsesse, aegsete, aegseid
aegunud, aegunu, aegunut, aegunusse, aegunute, aegunuid
aetud, aetu, aetut, aetusse, aetute, aetuid
afekteeritud, afekteeritu, afekteeritut, afekteeritusse, afekteeritute, afekteerituid
afektiivne, afektiivse, afektiivset, afektiivsesse, afektiivsete, afektiivseid
aganane, aganase, aganast, aganasesse|aganasse, aganaste, aganasi
agar, agara, agarat, agarasse, agarate, agaraid
äge, ägeda, ägedat, ägedasse, ägedate, ägedaid
agraarne, agraarse, agraarset, agraarsesse, agraarsete, agraarseid
agressiivne, agressiivse, agressiivset, agressiivsesse, agressiivsete, agressiivseid
aher, ahtra, ahtrat, ahtrasse, ahtrate, ahtraid
ähmane, ähmase, ähmast, ähmasesse, ähmaste, ähmaseid
ähmjas, ähmja, ähmjat, ähmjasse, ähmjate, ähmjaid
ahne, ahne, ahnet, ahnesse, ahnete, ahneid
ahnitsev, ahnitseva, ahnitsevat, ahnitsevasse, ahnitsevate, ahnitsevaid
ahvatlev, ahvatleva, ahvatlevat, ahvatlevasse, ahvatlevate, ahvatlevaid
äikeseline, äikeselise, äikeselist, äikeselisesse|äikeselisse, äikeseliste, äikeselisi
aimamatu, aimamatu, aimamatut, aimamatusse, aimamatute, aimamatuid
aimatav, aimatava, aimatavat, aimatavasse, aimatavate, aimatavaid
aimeline, aimelise, aimelist, aimelisesse|aimelisse, aimeliste, aimelisi
aineline, ainelise, ainelist, ainelisesse|ainelisse, aineliste, ainelisi
ainsuslik, ainsusliku, ainsuslikku, ainsuslikusse|ainsuslikku, ainsuslike|ainsuslikkude, ainsuslikke|ainsuslikkusid
ainuke, ainukese, ainukest, ainukesesse|ainukesse, ainukeste, ainukesi
ainuline, ainulise, ainulist, ainulisesse|ainulisse, ainuliste, ainulisi
ainus, ainsa, ainsat|ainust, ainsasse, ainsate, ainsaid
aistinguline, aistingulise, aistingulist, aistingulisesse|aistingulisse, aistinguliste, aistingulisi
aistlik, aistliku, aistlikku, aistlikusse|aistlikku, aistlike|aistlikkude, aistlikke|aistlikkusid
ajalik, ajaliku, ajalikku, ajalikusse|ajalikku, ajalike|ajalikkude, ajalikke|ajalikkusid
ajaline, ajalise, ajalist, ajalisesse|ajalisse, ajaliste, ajalisi
ajatu, ajatu, ajatut, ajatusse, ajatute, ajatuid
ajutine, ajutise, ajutist, ajutisesse|ajutisse, ajutiste, ajutisi
akadeemiline, akadeemilise, akadeemilist, akadeemilisesse|akadeemilisse, akadeemiliste, akadeemilisi
äkiline, äkilise, äkilist, äkilisesse|äkilisse, äkiliste, äkilisi
aktiivne, aktiivse, aktiivset, aktiivsesse, aktiivsete, aktiivseid
aktiivsusetu, aktiivsusetu, aktiivsusetut, aktiivsusetusse, aktiivsusetute, aktiivsusetuid
aktuaalne, aktuaalse, aktuaalset, aktuaalsesse, aktuaalsete, aktuaalseid
akuutne, akuutse, akuutset, akuutsesse, akuutsete, akuutseid
alaline, alalise, alalist, alalisesse|alalisse, alaliste, alalisi
alandlik, alandliku, alandlikku, alandlikusse|alandlikku, alandlike|alandlikkude, alandlikke|alandlikkusid
alane, alase, alast, alasesse, alaste, alaseid
alatine, alatise, alatist, alatisesse|alatisse, alatiste, alatisi
alatu, alatu, alatut, alatusse, alatute, alatuid
aldis, alti, aldist, altisse, aldiste, alteid
alfabeetiline, alfabeetilise, alfabeetilist, alfabeetilisesse|alfabeetilisse, alfabeetiliste, alfabeetilisi
algav, algava, algavat, algavasse, algavate, algavaid
algeline, algelise, algelist, algelisesse|algelisse, algeliste, algelisi
algne, algse, algset, algsesse, algsete, algseid
alistumatu, alistumatu, alistumatut, alistumatusse, alistumatute, alistumatuid
alistuv, alistuva, alistuvat, alistuvasse, alistuvate, alistuvaid
allergiline, allergilise, allergilist, allergilisesse|allergilisse, allergiliste, allergilisi
alluv, alluva, alluvat, alluvasse, alluvate, alluvaid
alp, albi, alpi, albisse|alpi, alpide, alpe|alpisid
alternatiivne, alternatiivse, alternatiivset, alternatiivsesse, alternatiivsete, alternatiivseid
altruistlik, altruistliku, altruistlikku, altruistlikusse|altruistlikku, altruistlike|altruistlikkude, altruistlikke|altruistlikkusid
alumine, alumise, alumist, alumisesse|alumisse, alumiste, alumisi
alune, aluse, alust, alusesse, aluste, aluseid
aluseline, aluselise, aluselist, aluselisesse|aluselisse, aluseliste, aluselisi
alusetu, alusetu, alusetut, alusetusse, alusetute, alusetuid
alustav, alustava, alustavat, alustavasse, alustavate, alustavaid
amatöörlik, amatöörliku, amatöörlikku, amatöörlikusse|amatöörlikku, amatöörlike|amatöörlikkude, amatöörlikke|amatöörlikkusid
ambitsioonikas, ambitsioonika, ambitsioonikat, ambitsioonikasse, ambitsioonikate, ambitsioonikaid
ambitsioonitu, ambitsioonitu, ambitsioonitut, ambitsioonitusse, ambitsioonitute, ambitsioonituid
ametlik, ametliku, ametlikku, ametlikusse|ametlikku, ametlike|ametlikkude, ametlikke|ametlikkusid
ammendamatu, ammendamatu, ammendamatut, ammendamatusse, ammendamatute, ammendamatuid
ammendav, ammendava, ammendavat, ammendavasse, ammendavate, ammendavaid
ammune, ammuse, ammust, ammusesse, ammuste, ammuseid
amoraalne, amoraalse, amoraalset, amoraalsesse, amoraalsete, amoraalseid
amorfne, amorfse, amorfset, amorfsesse, amorfsete, amorfseid
anaalne, anaalse, anaalset, anaalsesse, anaalsete, anaalseid
analoogiline, analoogilise, analoogilist, analoogilisesse|analoogilisse, analoogiliste, analoogilisi
analoogne, analoogse, analoogset, analoogsesse, analoogsete, analoogseid
analüüsiv, analüüsiva, analüüsivat, analüüsivasse, analüüsivate, analüüsivaid
analüütiline, analüütilise, analüütilist, analüütilisesse|analüütilisse, analüütiliste, analüütilisi
anastatud, anastatu, anastatut, anastatusse, anastatute, anastatuid
anastuslik, anastusliku, anastuslikku, anastuslikusse|anastuslikku, anastuslike|anastuslikkude, anastuslikke|anastuslikkusid
andekas, andeka, andekat, andekasse, andekate, andekaid
andeline, andelise, andelist, andelisesse|andelisse, andeliste, andelisi
andestamatu, andestamatu, andestamatut, andestamatusse, andestamatute, andestamatuid
andestatav, andestatava, andestatavat, andestatavasse, andestatavate, andestatavaid
andestav, andestava, andestavat, andestavasse, andestavate, andestavaid
andetu, andetu, andetut, andetusse, andetute, andetuid
andev, andva, andvat, andvasse, andvate, andvaid
andlik, andliku, andlikku, andlikusse|andlikku, andlike|andlikkude, andlikke|andlikkusid
andmatu, andmatu, andmatut, andmatusse, andmatute, andmatuid
andunud, andunu, andunut, andunusse, andunute, andunuid
anekdootlik, anekdootliku, anekdootlikku, anekdootlikusse|anekdootlikku, anekdootlike|anekdootlikkude, anekdootlikke|anekdootlikkusid
ängistav, ängistava, ängistavat, ängistavasse, ängistavate, ängistavaid
animaalne, animaalse, animaalset, animaalsesse, animaalsete, animaalseid
annulleeritud, annulleeritu, annulleeritut, annulleeritusse, annulleeritute, annulleerituid
anonüümne, anonüümse, anonüümset, anonüümsesse, anonüümsete, anonüümseid
anormaalne, anormaalse, anormaalset, anormaalsesse, anormaalsete, anormaalseid
antiikne, antiikse, antiikset, antiiksesse, antiiksete, antiikseid
antipaatne, antipaatse, antipaatset, antipaatsesse, antipaatsete, antipaatseid
antonüümne, antonüümse, antonüümset, antonüümsesse, antonüümsete, antonüümseid
antroopiline, antroopilise, antroopilist, antroopilisesse|antroopilisse, antroopiliste, antroopilisi
antroopne, antroopse, antroopset, antroopsesse, antroopsete, antroopseid
antropogeenne, antropogeense, antropogeenset, antropogeensesse, antropogeensete, antropogeenseid
antropoidne, antropoidse, antropoidset, antropoidsesse, antropoidsete, antropoidseid
antropomorfne, antropomorfse, antropomorfset, antropomorfsesse, antropomorfsete, antropomorfseid
antud, antu, antut, antusse, antute, antuid
antvärklik, antvärkliku, antvärklikku, antvärklikusse|antvärklikku, antvärklike|antvärklikkude, antvärklikke|antvärklikkusid
anuv, anuva, anuvat, anuvasse, anuvate, anuvaid
apaatne, apaatse, apaatset, apaatsesse, apaatsete, apaatseid
äpardunud, äpardunu, äpardunut, äpardunusse, äpardunute, äpardunuid
apartne, apartse, apartset, apartsesse, apartsete, apartseid
apoliitiline, apoliitilise, apoliitilist, apoliitilisesse|apoliitilisse, apoliitiliste, apoliitilisi
aposterioorne, aposterioorse, aposterioorset, aposterioorsesse, aposterioorsete, aposterioorseid
aprioorne, aprioorse, aprioorset, aprioorsesse, aprioorsete, aprioorseid
äralik, äraliku, äralikku, äralikusse|äralikku, äralike|äralikkude, äralikke|äralikkusid
äraline, äralise, äralist, äralisesse|äralisse, äraliste, äralisi
äratav, äratava, äratavat, äratavasse, äratavate, äratavaid
arbitraarne, arbitraarse, arbitraarset, arbitraarsesse, arbitraarsete, arbitraarseid
arendiline, arendilise, arendilist, arendilisesse|arendilisse, arendiliste, arendilisi
arenematu, arenematu, arenematut, arenematusse, arenematute, arenematuid
arenenud, arenenu, arenenut, arenenusse, arenenute, arenenuid
arenev, areneva, arenevat, arenevasse, arenevate, arenevaid
ärev, äreva, ärevat, ärevasse, ärevate, ärevaid
arg, ara, arga, arasse|arga, argade, argu|argasid
ärgas, ärksa, ärgast|ärksat, ärksasse, ärksate, ärksaid
argine, argise, argist, argisesse, argiste, argiseid
arglik, argliku, arglikku, arglikusse|arglikku, arglike|arglikkude, arglikke|arglikkusid
argumenteeritud, argumenteeritu, argumenteeritut, argumenteeritusse, argumenteeritute, argumenteerituid
arheoloogiline, arheoloogilise, arheoloogilist, arheoloogilisesse|arheoloogilisse, arheoloogiliste, arheoloogilisi
äriline, ärilise, ärilist, ärilisesse|ärilisse, äriliste, ärilisi
aristokraatlik, aristokraatliku, aristokraatlikku, aristokraatlikusse|aristokraatlikku, aristokraatlike|aristokraatlikkude, aristokraatlikke|aristokraatlikkusid
aristokraatne, aristokraatse, aristokraatset, aristokraatsesse, aristokraatsete, aristokraatseid
aritmeetiline, aritmeetilise, aritmeetilist, aritmeetilisesse|aritmeetilisse, aritmeetiliste, aritmeetilisi
armas, armsa, armast|armsat, armsasse, armsate, armsaid
armastajalik, armastajaliku, armastajalikku, armastajalikusse|armastajalikku, armastajalike|armastajalikkude, armastajalikke|armastajalikkusid
armastatud, armastatu, armastatut, armastatusse, armastatute, armastatuid
armastav, armastava, armastavat, armastavasse, armastavate, armastavaid
armetu, armetu, armetut, armetusse, armetute, armetuid
armsake, armsakese, armsakest, armsakesesse|armsakesse, armsakeste, armsakesi
armsakene, armsakese, armsakest, armsakesesse|armsakesse, armsakeste, armsakesi
armulik, armuliku, armulikku, armulikusse|armulikku, armulike|armulikkude, armulikke|armulikkusid
armuline, armulise, armulist, armulisesse|armulisse, armuliste, armulisi
armunud, armunu, armunut, armunusse, armunute, armunuid
armutu, armutu, armutut, armutusse, armutute, armutuid
aromaatne, aromaatse, aromaatset, aromaatsesse, aromaatsete, aromaatseid
ärritav, ärritava, ärritavat, ärritavasse, ärritavate, ärritavaid
ärritunud, ärritunu, ärritunut, ärritunusse, ärritunute, ärritunuid
ärrituv, ärrituva, ärrituvat, ärrituvasse, ärrituvate, ärrituvaid
arukas, aruka, arukat, arukasse, arukate, arukaid
arune, aruse, arust, arusesse, aruste, aruseid
arutlev, arutleva, arutlevat, arutlevasse, arutlevate, arutlevaid
arutu, arutu, arutut, arutusse, arutute, arutuid
arvamatu, arvamatu, arvamatut, arvamatusse, arvamatute, arvamatuid
arvatav, arvatava, arvatavat, arvatavasse, arvatavate, arvatavaid
arvestav, arvestava, arvestavat, arvestavasse, arvestavate, arvestavaid
arvukas, arvuka, arvukat, arvukasse, arvukate, arvukaid
arvuline, arvulise, arvulist, arvulisesse|arvulisse, arvuliste, arvulisi
arvustav, arvustava, arvustavat, arvustavasse, arvustavate, arvustavaid
arvutuslik, arvutusliku, arvutuslikku, arvutuslikusse|arvutuslikku, arvutuslike|arvutuslikkude, arvutuslikke|arvutuslikkusid
aseksuaalne, aseksuaalse, aseksuaalset, aseksuaalsesse, aseksuaalsete, aseksuaalseid
asine, asise, asist, asisesse, asiste, asiseid
asjalik, asjaliku, asjalikku, asjalikusse|asjalikku, asjalike|asjalikkude, asjalikke|asjalikkusid
asjaline, asjalise, asjalist, asjalisesse|asjalisse, asjaliste, asjalisi
äsjane, äsjase, äsjast, äsjasesse, äsjaste, äsjaseid
asjatu, asjatu, asjatut, asjatusse, asjatute, asjatuid
askeetlik, askeetliku, askeetlikku, askeetlikusse|askeetlikku, askeetlike|askeetlikkude, askeetlikke|askeetlikkusid
askuslik, askusliku, askuslikku, askuslikusse|askuslikku, askuslike|askuslikkude, askuslikke|askuslikkusid
asotsiaalne, asotsiaalse, asotsiaalset, asotsiaalsesse, asotsiaalsete, asotsiaalseid
astmeline, astmelise, astmelist, astmelisesse|astmelisse, astmeliste, astmelisi
astraalne, astraalse, astraalset, astraalsesse, astraalsete, astraalseid
astuv, astuva, astuvat, astuvasse, astuvate, astuvaid
asümmeetriline, asümmeetrilise, asümmeetrilist, asümmeetrilisesse|asümmeetrilisse, asümmeetriliste, asümmeetrilisi
asünkrooniline, asünkroonilise, asünkroonilist, asünkroonilisesse|asünkroonilisse, asünkrooniliste, asünkroonilisi
asünkroonne, asünkroonse, asünkroonset, asünkroonsesse, asünkroonsete, asünkroonseid
ateistlik, ateistliku, ateistlikku, ateistlikusse|ateistlikku, ateistlike|ateistlikkude, ateistlikke|ateistlikkusid
ätilik, ätiliku, ätilikku, ätilikusse|ätilikku, ätilike|ätilikkude, ätilikke|ätilikkusid
atleetlik, atleetliku, atleetlikku, atleetlikusse|atleetlikku, atleetlike|atleetlikkude, atleetlikke|atleetlikkusid
atraktiivne, atraktiivse, atraktiivset, atraktiivsesse, atraktiivsete, atraktiivseid
audio, audio, audiot, audiosse, audiote, audioid
auditiivne, auditiivse, auditiivset, auditiivsesse, auditiivsete, auditiivseid
auklik, aukliku, auklikku, auklikusse|auklikku, auklike|auklikkude, auklikke|auklikkusid
aulik, auliku, aulikku, aulikusse|aulikku, aulike|aulikkude, aulikke|aulikkusid
auline, aulise, aulist, aulisesse|aulisse, auliste, aulisi|auliseid
aurune, auruse, aurust, aurusesse, auruste, auruseid
aus, ausa, ausat, ausasse, ausate, ausaid
austatud, austatu, austatut, austatusse, austatute, austatuid
austav, austava, austavat, austavasse, austavate, austavaid
autohtoonne, autohtoonse, autohtoonset, autohtoonsesse, autohtoonsete, autohtoonseid
automaatne, automaatse, automaatset, automaatsesse, automaatsete, automaatseid
autonoomne, autonoomse, autonoomset, autonoomsesse, autonoomsete, autonoomseid
autoritaarne, autoritaarse, autoritaarset, autoritaarsesse, autoritaarsete, autoritaarseid
autoriteetne, autoriteetse, autoriteetset, autoriteetsesse, autoriteetsete, autoriteetseid
autu, autu, autut, autusse, autute, autuid
aval, avala, avalat, avalasse, avalate, avalaid
avaldav, avaldava, avaldavat, avaldavasse, avaldavate, avaldavaid
avalduslik, avaldusliku, avalduslikku, avalduslikusse|avalduslikku, avalduslike|avalduslikkude, avalduslikke|avalduslikkusid
avalik, avaliku, avalikku, avalikusse|avalikku, avalike|avalikkude, avalikke|avalikkusid
avalikustav, avalikustava, avalikustavat, avalikustavasse, avalikustavate, avalikustavaid
avangardne, avangardse, avangardset, avangardsesse, avangardsete, avangardseid
avantüristlik, avantüristliku, avantüristlikku, avantüristlikusse|avantüristlikku, avantüristlike|avantüristlikkude, avantüristlikke|avantüristlikkusid
avar, avara, avarat, avarasse, avarate, avaraid
avatud, avatu, avatut, avatusse, avatute, avatuid
ažuurne, ažuurse, ažuurset, ažuursesse, ažuursete, ažuurseid
baasiline, baasilise, baasilist, baasilisesse|baasilisse, baasiliste, baasilisi
bakteriaalne, bakteriaalse, bakteriaalset, bakteriaalsesse, bakteriaalsete, bakteriaalseid
banaalne, banaalse, banaalset, banaalsesse, banaalsete, banaalseid
bandiitlik, bandiitliku, bandiitlikku, bandiitlikusse|bandiitlikku, bandiitlike|bandiitlikkude, bandiitlikke|bandiitlikkusid
barbaarne, barbaarse, barbaarset, barbaarsesse, barbaarsete, barbaarseid
barbarlik, barbarliku, barbarlikku, barbarlikusse|barbarlikku, barbarlike|barbarlikkude, barbarlikke|barbarlikkusid
barokne, barokse, barokset, baroksesse, baroksete, barokseid
basaalne, basaalse, basaalset, basaalsesse, basaalsete, basaalseid
bestiaalne, bestiaalse, bestiaalset, bestiaalsesse, bestiaalsete, bestiaalseid
bilateraalne, bilateraalse, bilateraalset, bilateraalsesse, bilateraalsete, bilateraalseid
binaarne, binaarse, binaarset, binaarsesse, binaarsete, binaarseid
bioloogiline, bioloogilise, bioloogilist, bioloogilisesse|bioloogilisse, bioloogiliste, bioloogilisi
blaseerunud, blaseerunu, blaseerunut, blaseerunusse, blaseerunute, blaseerunuid
blond, blondi, blondi, blondisse|blondi, blondide, blonde|blondisid
bolševistlik, bolševistliku, bolševistlikku, bolševistlikusse|bolševistlikku, bolševistlike|bolševistlikkude, bolševistlikke|bolševistlikkusid
bravuurikas, bravuurika, bravuurikat, bravuurikasse, bravuurikate, bravuurikaid
bravuurne, bravuurse, bravuurset, bravuursesse, bravuursete, bravuurseid
briljantne, briljantse, briljantset, briljantsesse, briljantsete, briljantseid
brutaalne, brutaalse, brutaalset, brutaalsesse, brutaalsete, brutaalseid
budistlik, budistliku, budistlikku, budistlikusse|budistlikku, budistlike|budistlikkude, budistlikke|budistlikkusid
bukvalistlik, bukvalistliku, bukvalistlikku, bukvalistlikusse|bukvalistlikku, bukvalistlike|bukvalistlikkude, bukvalistlikke|bukvalistlikkusid
burleskne, burleskse, burleskset, burlesksesse, burlesksete, burleskseid
daamilik, daamiliku, daamilikku, daamilikusse|daamilikku, daamilike|daamilikkude, daamilikke|daamilikkusid
dändilik, dändiliku, dändilikku, dändilikusse|dändilikku, dändilike|dändilikkude, dändilikke|dändilikkusid
debiilne, debiilse, debiilset, debiilsesse, debiilsete, debiilseid
deemonlik, deemonliku, deemonlikku, deemonlikusse|deemonlikku, deemonlike|deemonlikkude, deemonlikke|deemonlikkusid
defektiivne, defektiivse, defektiivset, defektiivsesse, defektiivsete, defektiivseid
defektne, defektse, defektset, defektsesse, defektsete, defektseid
definiitne, definiitse, definiitset, definiitsesse, definiitsete, definiitseid
definitiivne, definitiivse, definitiivset, definitiivsesse, definitiivsete, definitiivseid
deiktiline, deiktilise, deiktilist, deiktilisesse|deiktilisse, deiktiliste, deiktilisi
dekadentlik, dekadentliku, dekadentlikku, dekadentlikusse|dekadentlikku, dekadentlike|dekadentlikkude, dekadentlikke|dekadentlikkusid
deklaratiivne, deklaratiivse, deklaratiivset, deklaratiivsesse, deklaratiivsete, deklaratiivseid
dekoratiivne, dekoratiivse, dekoratiivset, dekoratiivsesse, dekoratiivsete, dekoratiivseid
delikaatne, delikaatse, delikaatset, delikaatsesse, delikaatsete, delikaatseid
demagoogiline, demagoogilise, demagoogilist, demagoogilisesse|demagoogilisse, demagoogiliste, demagoogilisi
dementne, dementse, dementset, dementsesse, dementsete, dementseid
demonstratiivne, demonstratiivse, demonstratiivset, demonstratiivsesse, demonstratiivsete, demonstratiivseid
depressiivne, depressiivse, depressiivset, depressiivsesse, depressiivsete, depressiivseid
derivatiivne, derivatiivse, derivatiivset, derivatiivsesse, derivatiivsete, derivatiivseid
deskriptiivne, deskriptiivse, deskriptiivset, deskriptiivsesse, deskriptiivsete, deskriptiivseid
destruktiivne, destruktiivse, destruktiivset, destruktiivsesse, destruktiivsete, destruktiivseid
detsimaalne, detsimaalse, detsimaalset, detsimaalsesse, detsimaalsete, detsimaalseid
diagonaalne, diagonaalse, diagonaalset, diagonaalsesse, diagonaalsete, diagonaalseid
dialektoloogiline, dialektoloogilise, dialektoloogilist, dialektoloogilisesse|dialektoloogilisse, dialektoloogiliste, dialektoloogilisi
dialoogiline, dialoogilise, dialoogilist, dialoogilisesse|dialoogilisse, dialoogiliste, dialoogilisi
diametraalne, diametraalse, diametraalset, diametraalsesse, diametraalsete, diametraalseid
diferentne, diferentse, diferentset, diferentsesse, diferentsete, diferentseid
digitaalne, digitaalse, digitaalset, digitaalsesse, digitaalsete, digitaalseid
diktaatorlik, diktaatorliku, diktaatorlikku, diktaatorlikusse|diktaatorlikku, diktaatorlike|diktaatorlikkude, diktaatorlikke|diktaatorlikkusid
diktoorne, diktoorse, diktoorset, diktoorsesse, diktoorsete, diktoorseid
dimensiooniline, dimensioonilise, dimensioonilist, dimensioonilisesse|dimensioonilisse, dimensiooniliste, dimensioonilisi
diplomaatiline, diplomaatilise, diplomaatilist, diplomaatilisesse|diplomaatilisse, diplomaatiliste, diplomaatilisi
direktne, direktse, direktset, direktsesse, direktsete, direktseid
diskreetne, diskreetse, diskreetset, diskreetsesse, diskreetsete, diskreetseid
distinktiivne, distinktiivse, distinktiivset, distinktiivsesse, distinktiivsete, distinktiivseid
distributiivne, distributiivse, distributiivset, distributiivsesse, distributiivsete, distributiivseid
distsiplinaarne, distsiplinaarse, distsiplinaarset, distsiplinaarsesse, distsiplinaarsete, distsiplinaarseid
distsiplineerimatu, distsiplineerimatu, distsiplineerimatut, distsiplineerimatusse, distsiplineerimatute, distsiplineerimatuid
distsiplineeritud, distsiplineeritu, distsiplineeritut, distsiplineeritusse, distsiplineeritute, distsiplineerituid
dogmaatiline, dogmaatilise, dogmaatilist, dogmaatilisesse|dogmaatilisse, dogmaatiliste, dogmaatilisi
dominantne, dominantse, dominantset, dominantsesse, dominantsete, dominantseid
domineeriv, domineeriva, domineerivat, domineerivasse, domineerivate, domineerivaid
dramaatiline, dramaatilise, dramaatilist, dramaatilisesse|dramaatilisse, dramaatiliste, dramaatilisi
duaalne, duaalse, duaalset, duaalsesse, duaalsete, duaalseid
dünaamiline, dünaamilise, dünaamilist, dünaamilisesse|dünaamilisse, dünaamiliste, dünaamilisi
dupleksne, dupleksse, dupleksset, duplekssesse, duplekssete, dupleksseid
džentelmenlik, džentelmenliku, džentelmenlikku, džentelmenlikusse|džentelmenlikku, džentelmenlike|džentelmenlikkude, džentelmenlikke|džentelmenlikkusid
eakas, eaka, eakat, eakasse, eakate, eakaid
ealine, ealise, ealist, ealisesse|ealisse, ealiste, ealisi|ealiseid
ebalev, ebaleva, ebalevat, ebalevasse, ebalevate, ebalevaid
ebardlik, ebardliku, ebardlikku, ebardlikusse|ebardlikku, ebardlike|ebardlikkude, ebardlikke|ebardlikkusid
eblakas, eblaka, eblakat, eblakasse, eblakate, eblakaid
edenenud, edenenu, edenenut, edenenusse, edenenute, edenenuid
edenev, edeneva, edenevat, edenevasse, edenevate, edenevaid
edev, edeva, edevat, edevasse, edevate, edevaid
edukas, eduka, edukat, edukasse, edukate, edukaid
eduline, edulise, edulist, edulisesse|edulisse, eduliste, edulisi
edutu, edutu, edutut, edutusse, edutute, edutuid
edvistav, edvistava, edvistavat, edvistavasse, edvistavate, edvistavaid
eeldatav, eeldatava, eeldatavat, eeldatavasse, eeldatavate, eeldatavaid
eelistatu, eelistatu, eelistatut, eelistatusse, eelistatute, eelistatuid
eelmine, eelmise, eelmist, eelmisesse|eelmisse, eelmiste, eelmisi|eelmiseid
eelne, eelse, eelset, eelsesse, eelsete, eelseid
eelnenu, eelnenu, eelnenut, eelnenusse, eelnenute, eelnenuid
eelnev, eelneva, eelnevat, eelnevasse, eelnevate, eelnevaid
eepiline, eepilise, eepilist, eepilisesse|eepilisse, eepiliste, eepilisi
eesmine, eesmise, eesmist, eesmisesse|eesmisse, eesmiste, eesmisi|eesmiseid
eestilik, eestiliku, eestilikku, eestilikusse|eestilikku, eestilike|eestilikkude, eestilikke|eestilikkusid
eestiline, eestilise, eestilist, eestilisesse|eestilisse, eestiliste, eestilisi
eetiline, eetilise, eetilist, eetilisesse|eetilisse, eetiliste, eetilisi
efektiivne, efektiivse, efektiivset, efektiivsesse, efektiivsete, efektiivseid
efektne, efektse, efektset, efektsesse, efektsete, efektseid
egoistlik, egoistliku, egoistlikku, egoistlikusse|egoistlikku, egoistlike|egoistlikkude, egoistlikke|egoistlikkusid
ehe, eheda, ehedat, ehedasse, ehedate, ehedaid
ehitav, ehitava, ehitavat, ehitavasse, ehitavate, ehitavaid
ehitud, ehitu, ehitut, ehitusse, ehitute, ehituid
ehituslik, ehitusliku, ehituslikku, ehituslikusse|ehituslikku, ehituslike|ehituslikkude, ehituslikke|ehituslikkusid
ehmatav, ehmatava, ehmatavat, ehmatavasse, ehmatavate, ehmatavaid
ehmunud, ehmunu, ehmunut, ehmunusse, ehmunute, ehmunuid
ehtne, ehtsa, ehtsat, ehtsasse, ehtsate, ehtsaid
eitav, eitava, eitavat, eitavasse, eitavate, eitavaid
eksalteeritud, eksalteeritu, eksalteeritut, eksalteeritusse, eksalteeritute, eksalteerituid
eksekutiivne, eksekutiivse, eksekutiivset, eksekutiivsesse, eksekutiivsete, eksekutiivseid
eksimatu, eksimatu, eksimatut, eksimatusse, eksimatute, eksimatuid
eksinud, eksinu, eksinut, eksinusse, eksinute, eksinuid
ekslik, eksliku, ekslikku, ekslikusse|ekslikku, ekslike|ekslikkude, ekslikke|ekslikkusid
eksootiline, eksootilise, eksootilist, eksootilisesse|eksootilisse, eksootiliste, eksootilisi
ekspansiivne, ekspansiivse, ekspansiivset, ekspansiivsesse, ekspansiivsete, ekspansiivseid
eksperimentaalne, eksperimentaalse, eksperimentaalset, eksperimentaalsesse, eksperimentaalsete, eksperimentaalseid
ekstaatiline, ekstaatilise, ekstaatilist, ekstaatilisesse|ekstaatilisse, ekstaatiliste, ekstaatilisi
ekstravertne, ekstravertse, ekstravertset, ekstravertsesse, ekstravertsete, ekstravertseid
ekstreemne, ekstreemse, ekstreemset, ekstreemsesse, ekstreemsete, ekstreemseid
ekstremistlik, ekstremistliku, ekstremistlikku, ekstremistlikusse|ekstremistlikku, ekstremistlike|ekstremistlikkude, ekstremistlikke|ekstremistlikkusid
elajalik, elajaliku, elajalikku, elajalikusse|elajalikku, elajalike|elajalikkude, elajalikke|elajalikkusid
elamuslik, elamusliku, elamuslikku, elamuslikusse|elamuslikku, elamuslike|elamuslikkude, elamuslikke|elamuslikkusid
elastne, elastse, elastset, elastsesse, elastsete, elastseid
elatanud, elatanu, elatanut, elatanusse, elatanute, elatanuid
elav, elava, elavat, elavasse, elavate, elavaid
elegantne, elegantse, elegantset, elegantsesse, elegantsete, elegantseid
