äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
rööbik, rööbiku, rööbikut, rööbikusse, rööbikute, rööbikuid
rööbitine, rööbitise, rööbitist, rööbitisesse|rööbitisse, rööbitiste, rööbitisi
rõõmukas, rõõmuka, rõõmukat, rõõmukasse, rõõmukate, rõõmukaid
rõõmus, rõõmsa, rõõmsat, rõõmsasse, rõõmsate, rõõmsaid
rõõmustav, rõõmustava, rõõmustavat, rõõmustavasse, rõõmustavate, rõõmustavaid
rõõmutu, rõõmutu, rõõmutut, rõõmutusse, rõõmutute, rõõmutuid
rööpaline, rööpalise, rööpalist, rööpalisesse|rööpalisse, rööpaliste, rööpalisi
rööplik, rööpliku, rööplikku, rööplikusse|rööplikku, rööplike|rööplikkude, rööplikke|rööplikkusid
rööpne, rööpse, rööpset, rööpsesse, rööpsete, rööpseid
roosakas, roosaka, roosakat, roosakasse, roosakate, roosakaid
roosa, roosa, roosat, roosasse, roosade, roosasid
rõõsk, rõõsa, rõõska, rõõsasse|rõõska, rõõskade, rõõsku|rõõskasid
roostene, roostese, roostest, roostesesse|roostesse, roosteste, roostesi|roosteseid
roostetanud, roostetanu, roostetanut, roostetanusse, roostetanute, roostetanuid
röövellik, röövelliku, röövellikku, röövellikusse|röövellikku, röövellike|röövellikkude, röövellikke|röövellikkusid
ropp, ropu, roppu, ropusse|roppu, roppude, roppe|roppusid
rõske, rõske, rõsket, rõskesse, rõskete, rõskeid
rõve, rõveda, rõvedat, rõvedasse, rõvedate, rõvedaid
ruineerunu, ruineerunu, ruineerunut, ruineerunusse, ruineerunute, ruineerunuid
rumal, rumala, rumalat, rumalasse, rumalate, rumalaid
ründav, ründava, ründavat, ründavasse, ründavate, ründavaid
