aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
ähkima, ähkida, ähib, ähitakse, ähkige, ähkis, ähkinud, ähitud
ahmama, ahmata, ahmab, ahmatakse, ahmake, ahmas, ahmanud, ahmatud
ähmastama, ähmastada, ähmastab, ähmastatakse, ähmastage, ähmastas, ähmastanud, ähmastatud
ähmastuma, ähmastuda, ähmastub, ähmastutakse, ähmastuge, ähmastus, ähmastunud, ähmastutud
ähmenema, ähmeneda, ähmeneb, ähmenetakse, ähmenege, ähmenes, ähmenenud, ähmenetud
ahmima, ahmida, ahmib, ahmitakse, ahmige, ahmis, ahminud, ahmitud
ahmitsema, ahmitseda, ahmitseb, ahmitsetakse, ahmitsege, ahmitses, ahmitsenud, ahmitsetud
ähmitsema, ähmitseda, ähmitseb, ähmitsetakse, ähmitsege, ähmitses, ähmitsenud, ähmitsetud
ähmuma, ähmuda, ähmub, ähmutakse, ähmuge, ähmus, ähmunud, ähmutud
ahnitsema, ahnitseda, ahnitseb, ahnitsetakse, ahnitsege, ahnitses, ahnitsenud, ahnitsetud
ähvardama, ähvardada, ähvardab, ähvardatakse, ähvardage, ähvardas, ähvardanud, ähvardatud
ahvatlema, ahvatleda, ahvatleb, ahvatletakse, ahvatlege, ahvatles, ahvatlenud, ahvatletud
ahvima, ahvida, ahvib, ahvitakse, ahvige, ahvis, ahvinud, ahvitud
aietama, aietada, aietab, aietatakse, aietage, aietas, aietanud, aietatud
äigama, äiata, äigab, äiatakse, äiake, äigas, äianud, äiatud
aimama, aimata, aimab, aimatakse, aimake, aimas, aimanud, aimatud
aimuma, aimuda, aimub, aimutakse, aimuge, aimus, aimunud, aimutud
ainestama, ainestada, ainestab, ainestatakse, ainestage, ainestas, ainestanud, ainestatud
ainuvalitsema, ainuvalitseda, ainuvalitseb, ainuvalitsetakse, ainuvalitsege, ainuvalitses, ainuvalitsenud, ainuvalitsetud
