aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
pätistuma, pätistuda, pätistub, pätistutakse, pätistuge, pätistus, pätistunud, pätistutud
patrama, padrata, patrab, padratakse, padrake, patras, padranud, padratud
patrisanitsema, patrisanitseda, patrisanitseb, patrisanitsetakse, patrisanitsege, patrisanitses, patrisanitsenud, patrisanitsetud
patroneerima, patroneerida, patroneerib, patroneeritakse, patroneerige, patroneeris, patroneerinud, patroneeritud
patrullima, patrullida, patrullib, patrullitakse, patrullige, patrullis, patrullinud, patrullitud
patseerima, patseerida, patseerib, patseeritakse, patseerige, patseeris, patseerinud, patseeritud
pätserdama, pätserdada, pätserdab, pätserdatakse, pätserdage, pätserdas, pätserdanud, pätserdatud
patsifitseerima, patsifitseerida, patsifitseerib, patsifitseeritakse, patsifitseerige, patsifitseeris, patsifitseerinud, patsifitseeritud
patsima, patsida, patsib, patsitakse, patsige, patsis, patsinud, patsitud
pätsima, pätsida, pätsib, pätsitakse, pätsige, pätsis, pätsinud, pätsitud
patsuma, patsuda, patsub, patsutakse, patsuge, patsus, patsunud, patsutud
patsutama, patsutada, patsutab, patsutatakse, patsutage, patsutas, patsutanud, patsutatud
patustama, patustada, patustab, patustatakse, patustage, patustas, patustanud, patustatud
paugatama, paugatada, paugatab, paugatatakse, paugatage, paugatas, paugatanud, paugatatud
paugutama, paugutada, paugutab, paugutatakse, paugutage, paugutas, paugutanud, paugutatud
paukuma, paukuda, paugub, paugutakse, paukuge, paukus, paukunud, paugutud
pauseerima, pauseerida, pauseerib, pauseeritakse, pauseerige, pauseeris, pauseerinud, pauseeritud
pausima, pausida, pausib, pausitakse, pausige, pausis, pausinud, pausitud
pealkirjastama, pealkirjastada, pealkirjastab, pealkirjastatakse, pealkirjastage, pealkirjastas, pealkirjastanud, pealkirjastatud
peatama, peatada, peatab, peatatakse, peatage, peatas, peatanud, peatatud
peatuma, peatuda, peatub, peatutakse, peatuge, peatus, peatunud, peatutud
pediküürima, pediküürida, pediküürib, pediküüritakse, pediküürige, pediküüris, pediküürinud, pediküüritud
peegeldama, peegeldada, peegeldab, peegeldatakse, peegeldage, peegeldas, peegeldanud, peegeldatud
peegelduma, peegelduda, peegeldub, peegeldutakse, peegelduge, peegeldus, peegeldunud, peegeldutud
peenendama, peenendada, peenendab, peenendatakse, peenendage, peenendas, peenendanud, peenendatud
peenenduma, peenenduda, peenendub, peenendutakse, peenenduge, peenendus, peenendunud, peenendutud
peenenema, peeneneda, peeneneb, peenenetakse, peenenege, peenenes, peenenenud, peenenetud
peenestama, peenestada, peenestab, peenestatakse, peenestage, peenestas, peenestanud, peenestatud
peenutsema, peenutseda, peenutseb, peenutsetakse, peenutsege, peenutses, peenutsenud, peenutsetud
peeretama, peeretada, peeretab, peeretatakse, peeretage, peeretas, peeretanud, peeretatud
peesitama, peesitada, peesitab, peesitatakse, peesitage, peesitas, peesitanud, peesitatud
peetuma, peetuda, peetub, peetutakse, peetuge, peetus, peetunud, peetutud
pehastuma, pehastuda, pehastub, pehastutakse, pehastuge, pehastus, pehastunud, pehastutud
pehkima, pehkida, pehkib, pehkitakse, pehkige, pehkis, pehkinud, pehkitud
pehmendama, pehmendada, pehmendab, pehmendatakse, pehmendage, pehmendas, pehmendanud, pehmendatud
pehmenema, pehmeneda, pehmeneb, pehmenetakse, pehmenege, pehmenes, pehmenenud, pehmenetud
pehmitama, pehmitada, pehmitab, pehmitatakse, pehmitage, pehmitas, pehmitanud, pehmitatud
pehmuma, pehmuda, pehmub, pehmutakse, pehmuge, pehmus, pehmunud, pehmutud
peibutama, peibutada, peibutab, peibutatakse, peibutage, peibutas, peibutanud, peibutatud
peilima, peilida, peilib, peilitakse, peilige, peilis, peilinud, peilitud
peitma, peita, peidab, peidetakse, peitke, peitis, peitnud, peidetud
peitsima, peitsida, peitsib, peitsitakse, peitsige, peitsis, peitsinud, peitsitud
peituma, peituda, peitub, peitutakse, peituge, peitus, peitunud, peitutud
pekkima, pekkida, pekib, pekitakse, pekkige, pekkis, pekkinud, pekitud
pekslema, pekselda, peksleb, pekseldakse, pekselge, peksles, pekselnud, pekseldud
peksma, peksta, peksab, pekstakse, pekske, peksis, peksnud, pekstud
peletama, peletada, peletab, peletatakse, peletage, peletas, peletanud, peletatud
pelgama, peljata, pelgab, peljatakse, peljake, pelgas, peljanud, peljatud
pendeldama, pendeldada, pendeldab, pendeldatakse, pendeldage, pendeldas, pendeldanud, pendeldatud
penetreerima, penetreerida, penetreerib, penetreeritakse, penetreerige, penetreeris, penetreerinud, penetreeritud
pensioneerima, pensioneerida, pensioneerib, pensioneeritakse, pensioneerige, pensioneeris, pensioneerinud, pensioneeritud
pensioneeruma, pensioneeruda, pensioneerub, pensioneerutakse, pensioneeruge, pensioneerus, pensioneerunud, pensioneerutud
pepsutama, pepsutada, pepsutab, pepsutatakse, pepsutage, pepsutas, pepsutanud, pepsutatud
peremehetsema, peremehetseda, peremehetseb, peremehetsetakse, peremehetsege, peremehetses, peremehetsenud, peremehetsetud
perforeerima, perforeerida, perforeerib, perforeeritakse, perforeerige, perforeeris, perforeerinud, perforeeritud
perforeeruma, perforeeruda, perforeerub, perforeerutakse, perforeeruge, perforeerus, perforeerunud, perforeerutud
perifraseerima, perifraseerida, perifraseerib, perifraseeritakse, perifraseerige, perifraseeris, perifraseerinud, perifraseeritud
periodiseerima, periodiseerida, periodiseerib, periodiseeritakse, periodiseerige, periodiseeris, periodiseerinud, periodiseeritud
perkuteerima, perkuteerida, perkuteerib, perkuteeritakse, perkuteerige, perkuteeris, perkuteerinud, perkuteeritud
persisteerima, persisteerida, persisteerib, persisteeritakse, persisteerige, persisteeris, persisteerinud, persisteeritud
personifitseerima, personifitseerida, personifitseerib, personifitseeritakse, personifitseerige, personifitseeris, personifitseerinud, personifitseeritud
perutama, perutada, perutab, perutatakse, perutage, perutas, perutanud, perutatud
pesastuma, pesastuda, pesastub, pesastutakse, pesastuge, pesastus, pesastunud, pesastutud
pesema, pesta, peseb, pestakse, peske, pesi, pesnud, pestud
pesitama, pesitada, pesitab, pesitatakse, pesitage, pesitas, pesitanud, pesitatud
pesitsema, pesitseda, pesitseb, pesitsetakse, pesitsege, pesitses, pesitsenud, pesitsetud
petma, petta, petab, petetakse, petke, pettis, petnud, petetud
pettuma, pettuda, pettub, pettutakse, pettuge, pettus, pettunud, pettutud
pidama, pidada, peab, peetakse, pidage, pidi|pidas, pidanud, peetud
pidurdama, pidurdada, pidurdab, pidurdatakse, pidurdage, pidurdas, pidurdanud, pidurdatud
pidurduma, pidurduda, pidurdub, pidurdutakse, pidurduge, pidurdus, pidurdunud, pidurdutud
pidutsema, pidutseda, pidutseb, pidutsetakse, pidutsege, pidutses, pidutsenud, pidutsetud
pigistama, pigistada, pigistab, pigistatakse, pigistage, pigistas, pigistanud, pigistatud
pigitama, pigitada, pigitab, pigitatakse, pigitage, pigitas, pigitanud, pigitatud
pigmenteeruma, pigmenteeruda, pigmenteerub, pigmenteerutakse, pigmenteeruge, pigmenteerus, pigmenteerunud, pigmenteerutud
pihtima, pihtida, pihib, pihitakse, pihtige, pihtis, pihtinud, pihitud
pihunema, pihuneda, pihuneb, pihunetakse, pihunege, pihunes, pihunenud, pihunetud
pihustama, pihustada, pihustab, pihustatakse, pihustage, pihustas, pihustanud, pihustatud
pihustuma, pihustuda, pihustub, pihustutakse, pihustuge, pihustus, pihustunud, pihustutud
piibitama, piibitada, piibitab, piibitatakse, piibitage, piibitas, piibitanud, piibitatud
piidlema, piielda, piidleb, piieldakse, piielge, piidles, piielnud, piieldud
piiksatama, piiksatada, piiksatab, piiksatatakse, piiksatage, piiksatas, piiksatanud, piiksatatud
piiksuma, piiksuda, piiksub, piiksutakse, piiksuge, piiksus, piiksunud, piiksutud
piiksutama, piiksutada, piiksutab, piiksutatakse, piiksutage, piiksutas, piiksutanud, piiksutatud
piiluma, piiluda, piilub, piilutakse, piiluge, piilus, piilunud, piilutud
piinama, piinata, piinab, piinatakse, piinake, piinas, piinanud, piinatud
piinlema, piinelda, piinleb, piineldakse, piinelge, piinles, piinelnud, piineldud
piipitama, piipitada, piipitab, piipitatakse, piipitage, piipitas, piipitanud, piipitatud
piirama, piirata, piirab, piiratakse, piirake, piiras, piiranud, piiratud
piirduma, piirduda, piirdub, piirdutakse, piirduge, piirdus, piirdunud, piirdutud
piiristama, piiristada, piiristab, piiristatakse, piiristage, piiristas, piiristanud, piiristatud
piiristuma, piiristuda, piiristub, piiristutakse, piiristuge, piiristus, piiristunud, piiristutud
piiritlema, piiritleda, piiritleb, piiritletakse, piiritlege, piiritles, piiritlenud, piiritletud
piirnema, piirneda, piirneb, piirnetakse, piirnege, piirnes, piirnenud, piirnetud
piisama, piisata, piisab, piisatakse, piisake, piisas, piisanud, piisatud
piiskama, piisata, piiskab, piisatakse, piisake, piiskas, piisanud, piisatud
piisutama, piisutada, piisutab, piisutatakse, piisutage, piisutas, piisutanud, piisutatud
piitsutama, piitsutada, piitsutab, piitsutatakse, piitsutage, piitsutas, piitsutanud, piitsutatud
pikeerima, pikeerida, pikeerib, pikeeritakse, pikeerige, pikeeris, pikeerinud, pikeeritud
pikendama, pikendada, pikendab, pikendatakse, pikendage, pikendas, pikendanud, pikendatud
pikenema, pikeneda, pikeneb, pikenetakse, pikenege, pikenes, pikenenud, pikenetud
piketeerima, piketeerida, piketeerib, piketeeritakse, piketeerige, piketeeris, piketeerinud, piketeeritud
pikettima, pikettida, piketib, piketitakse, pikettige, pikettis, pikettinud, piketitud
pikkima, pikkida, pikib, pikitakse, pikkige, pikkis, pikkinud, pikitud
pikutama, pikutada, pikutab, pikutatakse, pikutage, pikutas, pikutanud, pikutatud
pilama, pilada, pilab, pilatakse, pilage, pilas, pilanud, pilatud
pilastama, pilastada, pilastab, pilastatakse, pilastage, pilastas, pilastanud, pilastatud
pilbastama, pilbastada, pilbastab, pilbastatakse, pilbastage, pilbastas, pilbastanud, pilbastatud
pilbastuma, pilbastuda, pilbastub, pilbastutakse, pilbastuge, pilbastus, pilbastunud, pilbastutud
pildistama, pildistada, pildistab, pildistatakse, pildistage, pildistas, pildistanud, pildistatud
pilduma, pilduda, pillub, pillutakse, pilduge, pildus, pildunud, pillutud
pilgutama, pilgutada, pilgutab, pilgutatakse, pilgutage, pilgutas, pilgutanud, pilgutatud
pilkama, pilgata, pilkab, pilgatakse, pilgake, pilkas, pilganud, pilgatud
pilkuma, pilkuda, pilgub, pilgutakse, pilkuge, pilkus, pilkunud, pilgutud
pillama, pillata, pillab, pillatakse, pillake, pillas, pillanud, pillatud
pillerkaaritama, pillerkaaritada, pillerkaaritab, pillerkaaritatakse, pillerkaaritage, pillerkaaritas, pillerkaaritanud, pillerkaaritatud
pillima, pillida, pillib, pillitakse, pillige, pillis, pillinud, pillitud
pillutama, pillutada, pillutab, pillutatakse, pillutage, pillutas, pillutanud, pillutatud
piloteerima, piloteerida, piloteerib, piloteeritakse, piloteerige, piloteeris, piloteerinud, piloteeritud
piltlikustama, piltlikustada, piltlikustab, piltlikustatakse, piltlikustage, piltlikustas, piltlikustanud, piltlikustatud
pilutama, pilutada, pilutab, pilutatakse, pilutage, pilutas, pilutanud, pilutatud
pilvitama, pilvitada, pilvitab, pilvitatakse, pilvitage, pilvitas, pilvitanud, pilvitatud
pimendama, pimendada, pimendab, pimendatakse, pimendage, pimendas, pimendanud, pimendatud
pimenema, pimeneda, pimeneb, pimenetakse, pimenege, pimenes, pimenenud, pimenetud
pimestama, pimestada, pimestab, pimestatakse, pimestage, pimestas, pimestanud, pimestatud
pimestuma, pimestuda, pimestub, pimestutakse, pimestuge, pimestus, pimestunud, pimestutud
pindama, pinnata, pindab, pinnatakse, pinnake, pindas, pinnanud, pinnatud
pinduma, pinduda, pindub, pindutakse, pinduge, pindus, pindunud, pindutud
pingestama, pingestada, pingestab, pingestatakse, pingestage, pingestas, pingestanud, pingestatud
pingestuma, pingestuda, pingestub, pingestutakse, pingestuge, pingestus, pingestunud, pingestutud
pinguldama, pinguldada, pinguldab, pinguldatakse, pinguldage, pinguldas, pinguldanud, pinguldatud
pingulduma, pingulduda, pinguldub, pinguldutakse, pingulduge, pinguldus, pinguldunud, pinguldutud
pingutama, pingutada, pingutab, pingutatakse, pingutage, pingutas, pingutanud, pingutatud
pingutuma, pingutuda, pingutub, pingututakse, pingutuge, pingutus, pingutunud, pingututud
pinisema, piniseda, piniseb, pinisetakse, pinisege, pinises, pinisenud, pinisetud
pinistama, pinistada, pinistab, pinistatakse, pinistage, pinistas, pinistanud, pinistatud
pinnima, pinnida, pinnib, pinnitakse, pinnige, pinnis, pinninud, pinnitud
pintseldama, pintseldada, pintseldab, pintseldatakse, pintseldage, pintseldas, pintseldanud, pintseldatud
pipardama, pipardada, pipardab, pipardatakse, pipardage, pipardas, pipardanud, pipardatud
piraaditsema, piraaditseda, piraaditseb, piraaditsetakse, piraaditsege, piraaditses, piraaditsenud, piraaditsetud
pirisema, piriseda, piriseb, pirisetakse, pirisege, pirises, pirisenud, pirisetud
piristama, piristada, piristab, piristatakse, piristage, piristas, piristanud, piristatud
pirtsuma, pirtsuda, pirtsub, pirtsutakse, pirtsuge, pirtsus, pirtsunud, pirtsutud
pirtsutama, pirtsutada, pirtsutab, pirtsutatakse, pirtsutage, pirtsutas, pirtsutanud, pirtsutatud
pisendama, pisendada, pisendab, pisendatakse, pisendage, pisendas, pisendanud, pisendatud
pisenema, piseneda, piseneb, pisenetakse, pisenege, pisenes, pisenenud, pisenetud
piserdama, piserdada, piserdab, piserdatakse, piserdage, piserdas, piserdanud, piserdatud
pissima, pissida, pissib, pissitakse, pissige, pissis, pissinud, pissitud
pissitama, pissitada, pissitab, pissitatakse, pissitage, pissitas, pissitanud, pissitatud
pistma, pista, pistab, pistetakse, pistke, pistis, pistnud, pistetud
pitseerima, pitseerida, pitseerib, pitseeritakse, pitseerige, pitseeris, pitseerinud, pitseeritud
pitserdama, pitserdada, pitserdab, pitserdatakse, pitserdage, pitserdas, pitserdanud, pitserdatud
pitsitama, pitsitada, pitsitab, pitsitatakse, pitsitage, pitsitas, pitsitanud, pitsitatud
piuksatama, piuksatada, piuksatab, piuksatatakse, piuksatage, piuksatas, piuksatanud, piuksatatud
piuksuma, piuksuda, piuksub, piuksutakse, piuksuge, piuksus, piuksunud, piuksutud
plaadistama, plaadistada, plaadistab, plaadistatakse, plaadistage, plaadistas, plaadistanud, plaadistatud
plaanima, plaanida, plaanib, plaanitakse, plaanige, plaanis, plaaninud, plaanitud
plaanitsema, plaanitseda, plaanitseb, plaanitsetakse, plaanitsege, plaanitses, plaanitsenud, plaanitsetud
plaasterdama, plaasterdada, plaasterdab, plaasterdatakse, plaasterdage, plaasterdas, plaasterdanud, plaasterdatud
plaatima, plaatida, plaadib, plaaditakse, plaatige, plaatis, plaatinud, plaaditud
pladisema, pladiseda, pladiseb, pladisetakse, pladisege, pladises, pladisenud, pladisetud
pladistama, pladistada, pladistab, pladistatakse, pladistage, pladistas, pladistanud, pladistatud
plagama, plagada, plagab, plagatakse, plagage, plagas, plaganud, plagatud
plagieerima, plagieerida, plagieerib, plagieeritakse, plagieerige, plagieeris, plagieerinud, plagieeritud
plagisema, plagiseda, plagiseb, plagisetakse, plagisege, plagises, plagisenud, plagisetud
plagistama, plagistada, plagistab, plagistatakse, plagistage, plagistas, plagistanud, plagistatud
plahvatama, plahvatada, plahvatab, plahvatatakse, plahvatage, plahvatas, plahvatanud, plahvatatud
pläkerdama, pläkerdada, pläkerdab, pläkerdatakse, pläkerdage, pläkerdas, pläkerdanud, pläkerdatud
plaksama, plaksata, plaksab, plaksatakse, plaksake, plaksas, plaksanud, plaksatud
plaksatama, plaksatada, plaksatab, plaksatatakse, plaksatage, plaksatas, plaksatanud, plaksatatud
plaksuma, plaksuda, plaksub, plaksutakse, plaksuge, plaksus, plaksunud, plaksutud
plaksutama, plaksutada, plaksutab, plaksutatakse, plaksutage, plaksutas, plaksutanud, plaksutatud
planeerima, planeerida, planeerib, planeeritakse, planeerige, planeeris, planeerinud, planeeritud
plärama, plärada, plärab, pläratakse, plärage, pläras, pläranud, pläratud
plärisema, pläriseda, pläriseb, plärisetakse, plärisege, plärises, plärisenud, plärisetud
pläristama, pläristada, pläristab, pläristatakse, pläristage, pläristas, pläristanud, pläristatud
plartsuma, plartsuda, plartsub, plartsutakse, plartsuge, plartsus, plartsunud, plartsutud
plärtsuma, plärtsuda, plärtsub, plärtsutakse, plärtsuge, plärtsus, plärtsunud, plärtsutud
plätrama, plädrata, plätrab, plädratakse, plädrake, plätras, plädranud, plädratud
platsatama, platsatada, platsatab, platsatatakse, platsatage, platsatas, platsatanud, platsatatud
platseerima, platseerida, platseerib, platseeritakse, platseerige, platseeris, platseerinud, platseeritud
platseeruma, platseeruda, platseerub, platseerutakse, platseeruge, platseerus, platseerunud, platseerutud
plätserdama, plätserdada, plätserdab, plätserdatakse, plätserdage, plätserdas, plätserdanud, plätserdatud
pleegitama, pleegitada, pleegitab, pleegitatakse, pleegitage, pleegitas, pleegitanud, pleegitatud
pleekima, pleekida, pleegib, pleegitakse, pleekige, pleekis, pleekinud, pleegitud
plekkima, plekkida, plekib, plekitakse, plekkige, plekkis, plekkinud, plekitud
plettima, plettida, pletib, pletitakse, plettige, plettis, plettinud, pletitud
plinkima, plinkida, plingib, plingitakse, plinkige, plinkis, plinkinud, plingitud
plisseerima, plisseerida, plisseerib, plisseeritakse, plisseerige, plisseeris, plisseerinud, plisseeritud
plõgisema, plõgiseda, plõgiseb, plõgisetakse, plõgisege, plõgises, plõgisenud, plõgisetud
plõgistama, plõgistada, plõgistab, plõgistatakse, plõgistage, plõgistas, plõgistanud, plõgistatud
plõksatama, plõksatada, plõksatab, plõksatatakse, plõksatage, plõksatas, plõksatanud, plõksatatud
plõksima, plõksida, plõksib, plõksitakse, plõksige, plõksis, plõksinud, plõksitud
plõksuma, plõksuda, plõksub, plõksutakse, plõksuge, plõksus, plõksunud, plõksutud
plõksutama, plõksutada, plõksutab, plõksutatakse, plõksutage, plõksutas, plõksutanud, plõksutatud
plombeerima, plombeerida, plombeerib, plombeeritakse, plombeerige, plombeeris, plombeerinud, plombeeritud
plommima, plommida, plommib, plommitakse, plommige, plommis, plomminud, plommitud
plõmmima, plõmmida, plõmmib, plõmmitakse, plõmmige, plõmmis, plõmminud, plõmmitud
plõnnima, plõnnida, plõnnib, plõnnitakse, plõnnige, plõnnis, plõnninud, plõnnitud
plumpsama, plumpsata, plumpsab, plumpsatakse, plumpsake, plumpsas, plumpsanud, plumpsatud
plumpsatama, plumpsatada, plumpsatab, plumpsatatakse, plumpsatage, plumpsatas, plumpsatanud, plumpsatatud
plumpsuma, plumpsuda, plumpsub, plumpsutakse, plumpsuge, plumpsus, plumpsunud, plumpsutud
pobisema, pobiseda, pobiseb, pobisetakse, pobisege, pobises, pobisenud, pobisetud
pobistama, pobistada, pobistab, pobistatakse, pobistage, pobistas, pobistanud, pobistatud
põdema, põdeda, põeb, põetakse, põdege, põdes, põdenud, põetud
podisema, podiseda, podiseb, podisetakse, podisege, podises, podisenud, podisetud
podistama, podistada, podistab, podistatakse, podistage, podistas, podistanud, podistatud
poegima, poegida, poegib, poegitakse, poegige, poegis, poeginud, poegitud
poetama, poetada, poetab, poetatakse, poetage, poetas, poetanud, poetatud
põetama, põetada, põetab, põetatakse, põetage, põetas, põetanud, põetatud
poetiseerima, poetiseerida, poetiseerib, poetiseeritakse, poetiseerige, poetiseeris, poetiseerinud, poetiseeritud
poetuma, poetuda, poetub, poetutakse, poetuge, poetus, poetunud, poetutud
põgenema, põgeneda, põgeneb, põgenetakse, põgenege, põgenes, põgenenud, põgenetud
põhinema, põhineda, põhineb, põhinetakse, põhinege, põhines, põhinenud, põhinetud
põhjama, põhjata, põhjab, põhjatakse, põhjake, põhjas, põhjanud, põhjatud
põhjendama, põhjendada, põhjendab, põhjendatakse, põhjendage, põhjendas, põhjendanud, põhjendatud
põhjustama, põhjustada, põhjustab, põhjustatakse, põhjustage, põhjustas, põhjustanud, põhjustatud
põikama, põigata, põikab, põigatakse, põigake, põikas, põiganud, põigatud
põiklema, põigelda, põikleb, põigeldakse, põigelge, põikles, põigelnud, põigeldud
põimima, põimida, põimib, põimitakse, põimige, põimis, põiminud, põimitud
põimuma, põimuda, põimub, põimutakse, põimuge, põimus, põimunud, põimutud
põkkuma, põkkuda, põkkub, põkkutakse, põkkuge, põkkus, põkkunud, põkkutud
poksima, poksida, poksib, poksitakse, poksige, poksis, poksinud, poksitud
põksuma, põksuda, põksub, põksutakse, põksuge, põksus, põksunud, põksutud
põksutama, põksutada, põksutab, põksutatakse, põksutage, põksutas, põksutanud, põksutatud
polariseerima, polariseerida, polariseerib, polariseeritakse, polariseerige, polariseeris, polariseerinud, polariseeritud
polariseeruma, polariseeruda, polariseerub, polariseerutakse, polariseeruge, polariseerus, polariseerunud, polariseerutud
põlastama, põlastada, põlastab, põlastatakse, põlastage, põlastas, põlastanud, põlastatud
poleemitsema, poleemitseda, poleemitseb, poleemitsetakse, poleemitsege, poleemitses, poleemitsenud, poleemitsetud
poleerima, poleerida, poleerib, poleeritakse, poleerige, poleeris, poleerinud, poleeritud
põlema, põleda, põleb, põletakse, põlege, põles, põlenud, põletud
polemiseerima, polemiseerida, polemiseerib, polemiseeritakse, polemiseerige, polemiseeris, polemiseerinud, polemiseeritud
põletama, põletada, põletab, põletatakse, põletage, põletas, põletanud, põletatud
põlgama, põlata, põlgab, põlatakse, põlake, põlgas, põlanud, põlatud
poliititsema, poliititseda, poliititseb, poliititsetakse, poliititsege, poliititses, poliititsenud, poliititsetud
põlistama, põlistada, põlistab, põlistatakse, põlistage, põlistas, põlistanud, põlistatud
põlistuma, põlistuda, põlistub, põlistutakse, põlistuge, põlistus, põlistunud, põlistutud
politiseerima, politiseerida, politiseerib, politiseeritakse, politiseerige, politiseeris, politiseerinud, politiseeritud
politiseeruma, politiseeruda, politiseerub, politiseerutakse, politiseeruge, politiseerus, politiseerunud, politiseerutud
polsterdama, polsterdada, polsterdab, polsterdatakse, polsterdage, polsterdas, polsterdanud, polsterdatud
põlvitama, põlvitada, põlvitab, põlvitatakse, põlvitage, põlvitas, põlvitanud, põlvitatud
põlvnema, põlvneda, põlvneb, põlvnetakse, põlvnege, põlvnes, põlvnenud, põlvnetud
põmatama, põmatada, põmatab, põmatatakse, põmatage, põmatas, põmatanud, põmatatud
pomisema, pomiseda, pomiseb, pomisetakse, pomisege, pomises, pomisenud, pomisetud
põmisema, põmiseda, põmiseb, põmisetakse, põmisege, põmises, põmisenud, põmisetud
põmistama, põmistada, põmistab, põmistatakse, põmistage, põmistas, põmistanud, põmistatud
pommima, pommida, pommib, pommitakse, pommige, pommis, pomminud, pommitud
põmmima, põmmida, põmmib, põmmitakse, põmmige, põmmis, põmminud, põmmitud
pommitama, pommitada, pommitab, pommitatakse, pommitage, pommitas, pommitanud, pommitatud
põmmutama, põmmutada, põmmutab, põmmutatakse, põmmutage, põmmutas, põmmutanud, põmmutatud
põnnama, põnnata, põnnab, põnnatakse, põnnake, põnnas, põnnanud, põnnatud
ponnistama, ponnistada, ponnistab, ponnistatakse, ponnistage, ponnistas, ponnistanud, ponnistatud
pontsatama, pontsatada, pontsatab, pontsatatakse, pontsatage, pontsatas, pontsatanud, pontsatatud
põntsatama, põntsatada, põntsatab, põntsatatakse, põntsatage, põntsatas, põntsatanud, põntsatatud
pontsuma, pontsuda, pontsub, pontsutakse, pontsuge, pontsus, pontsunud, pontsutud
põntsuma, põntsuda, põntsub, põntsutakse, põntsuge, põntsus, põntsunud, põntsutud
poodlema, poodelda, poodleb, poodeldakse, poodelge, poodles, poodelnud, poodeldud
pookima, pookida, poogib, poogitakse, pookige, pookis, pookinud, poogitud
pooldama, pooldada, pooldab, pooldatakse, pooldage, pooldas, pooldanud, pooldatud
poolduma, poolduda, pooldub, pooldutakse, poolduge, pooldus, pooldunud, pooldutud
poolitama, poolitada, poolitab, poolitatakse, poolitage, poolitas, poolitanud, poolitatud
poolituma, poolituda, poolitub, poolitutakse, poolituge, poolitus, poolitunud, poolitutud
pooma, puua, poob, puuakse, pooge, poos, poonud, poodud
põõnama, põõnata, põõnab, põõnatakse, põõnake, põõnas, põõnanud, põõnatud
poonima, poonida, poonib, poonitakse, poonige, poonis, pooninud, poonitud
pöörama, pöörata, pöörab, pööratakse, pöörake, pööras, pööranud, pööratud
pöördassembleerima, pöördassembleerida, pöördassembleerib, pöördassembleeritakse, pöördassembleerige, pöördassembleeris, pöördassembleerinud, pöördassembleeritud
pöördkompileerima, pöördkompileerida, pöördkompileerib, pöördkompileeritakse, pöördkompileerige, pöördkompileeris, pöördkompileerinud, pöördkompileeritud
pöörduma, pöörduda, pöördub, pöördutakse, pöörduge, pöördus, pöördunud, pöördutud
pööritama, pööritada, pööritab, pööritatakse, pööritage, pööritas, pööritanud, pööritatud
pöörlema, pöörelda, pöörleb, pööreldakse, pöörelge, pöörles, pöörelnud, pööreldud
põõsastuma, põõsastuda, põõsastub, põõsastutakse, põõsastuge, põõsastus, põõsastunud, põõsastutud
poosetama, poosetada, poosetab, poosetatakse, poosetage, poosetas, poosetanud, poosetatud
popitama, popitada, popitab, popitatakse, popitage, popitas, popitanud, popitatud
popsima, popsida, popsib, popsitakse, popsige, popsis, popsinud, popsitud
popsuma, popsuda, popsub, popsutakse, popsuge, popsus, popsunud, popsutud
popsutama, popsutada, popsutab, popsutatakse, popsutage, popsutas, popsutanud, popsutatud
populariseerima, populariseerida, populariseerib, populariseeritakse, populariseerige, populariseeris, populariseerinud, populariseeritud
poputama, poputada, poputab, poputatakse, poputage, poputas, poputanud, poputatud
porisema, poriseda, poriseb, porisetakse, porisege, porises, porisenud, porisetud
põrisema, põriseda, põriseb, põrisetakse, põrisege, põrises, põrisenud, põrisetud
põristama, põristada, põristab, põristatakse, põristage, põristas, põristanud, põristatud
põrkama, põrgata, põrkab, põrgatakse, põrgake, põrkas, põrganud, põrgatud
põrkima, põrkida, põrgib, põrgitakse, põrkige, põrkis, põrkinud, põrgitud
põrkuma, põrkuda, põrkub, põrkutakse, põrkuge, põrkus, põrkunud, põrkutud
põrmustama, põrmustada, põrmustab, põrmustatakse, põrmustage, põrmustas, põrmustanud, põrmustatud
põrmustuma, põrmustuda, põrmustub, põrmustutakse, põrmustuge, põrmustus, põrmustunud, põrmustutud
põrnitsema, põrnitseda, põrnitseb, põrnitsetakse, põrnitsege, põrnitses, põrnitsenud, põrnitsetud
portima, portida, pordib, porditakse, portige, portis, portinud, porditud
portreteerima, portreteerida, portreteerib, portreteeritakse, portreteerige, portreteeris, portreteerinud, portreteeritud
põruma, põruda, põrub, põrutakse, põruge, põrus, põrunud, põrutud
põrutama, põrutada, põrutab, põrutatakse, põrutage, põrutas, põrutanud, põrutatud
poseerima, poseerida, poseerib, poseeritakse, poseerige, poseeris, poseerinud, poseeritud
posima, posida, posib, positakse, posige, posis, posinud, positud
positsioneerima, positsioneerida, positsioneerib, positsioneeritakse, positsioneerige, positsioneeris, positsioneerinud, positsioneeritud
positsioonima, positsioonida, positsioonib, positsioonitakse, positsioonige, positsioonis, positsiooninud, positsioonitud
postdateerima, postdateerida, postdateerib, postdateeritakse, postdateerige, postdateeris, postdateerinud, postdateeritud
postitama, postitada, postitab, postitatakse, postitage, postitas, postitanud, postitatud
postponeerima, postponeerida, postponeerib, postponeeritakse, postponeerige, postponeeris, postponeerinud, postponeeritud
postuleerima, postuleerida, postuleerib, postuleeritakse, postuleerige, postuleeris, postuleerinud, postuleeritud
potentseerima, potentseerida, potentseerib, potentseeritakse, potentseerige, potentseeris, potentseerinud, potentseeritud
