aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
kaaslema, kaaselda, kaasleb, kaaseldakse, kaaselge, kaasles, kaaselnud, kaaseldud
kaasnema, kaasneda, kaasneb, kaasnetakse, kaasnege, kaasnes, kaasnenud, kaasnetud
kaasuma, kaasuda, kaasub, kaasutakse, kaasuge, kaasus, kaasunud, kaasutud
kaatsima, kaatsida, kaatsib, kaatsitakse, kaatsige, kaatsis, kaatsinud, kaatsitud
kabestuma, kabestuda, kabestub, kabestutakse, kabestuge, kabestus, kabestunud, kabestutud
kabetama, kabetada, kabetab, kabetatakse, kabetage, kabetas, kabetanud, kabetatud
kadestama, kadestada, kadestab, kadestatakse, kadestage, kadestas, kadestanud, kadestatud
kaduma, kaduda, kaob, kaotakse, kaduge, kadus, kadunud, kaotud
kaduma, kaduda, kaob, kaotakse, kaduge, kadus, kadunud, kaotud
kaebama, kaevata, kaebab, kaevatakse, kaevake, kaebas, kaevanud, kaevatud
kaeblema, kaevelda, kaebleb, kaeveldakse, kaevelge, kaebles, kaevelnud, kaeveldud
kaelustama, kaelustada, kaelustab, kaelustatakse, kaelustage, kaelustas, kaelustanud, kaelustatud
kaevama, kaevata, kaevab, kaevatakse, kaevake, kaevas, kaevanud, kaevatud
kaevanduma, kaevanduda, kaevandub, kaevandutakse, kaevanduge, kaevandus, kaevandunud, kaevandutud
kaevuma, kaevuda, kaevub, kaevutakse, kaevuge, kaevus, kaevunud, kaevutud
kahandama, kahandada, kahandab, kahandatakse, kahandage, kahandas, kahandanud, kahandatud
kahanema, kahaneda, kahaneb, kahanetakse, kahanege, kahanes, kahanenud, kahanetud
kahekordistuma, kahekordistuda, kahekordistub, kahekordistutakse, kahekordistuge, kahekordistus, kahekordistunud, kahekordistutud
kahestuma, kahestuda, kahestub, kahestutakse, kahestuge, kahestus, kahestunud, kahestutud
kahetsema, kahetseda, kahetseb, kahetsetakse, kahetsege, kahetses, kahetsenud, kahetsetud
kahisema, kahiseda, kahiseb, kahisetakse, kahisege, kahises, kahisenud, kahisetud
kahjatsema, kahjatseda, kahjatseb, kahjatsetakse, kahjatsege, kahjatses, kahjatsenud, kahjatsetud
kahjurõõmutsema, kahjurõõmutseda, kahjurõõmutseb, kahjurõõmutsetakse, kahjurõõmutsege, kahjurõõmutses, kahjurõõmutsenud, kahjurõõmutsetud
kahjustuma, kahjustuda, kahjustub, kahjustutakse, kahjustuge, kahjustus, kahjustunud, kahjustutud
kahlama, kahlata, kahlab, kahlatakse, kahlake, kahlas, kahlanud, kahlatud
kahmetama, kahmetada, kahmetab, kahmetatakse, kahmetage, kahmetas, kahmetanud, kahmetatud
kahtlema, kahelda, kahtleb, kaheldakse, kahelge, kahtles, kahelnud, kaheldud
kahtlustama, kahtlustada, kahtlustab, kahtlustatakse, kahtlustage, kahtlustas, kahtlustanud, kahtlustatud
kahtuma, kahtuda, kahtub, kahtutakse, kahtuge, kahtus, kahtunud, kahtutud
kahutama, kahutada, kahutab, kahutatakse, kahutage, kahutas, kahutanud, kahutatud
kahvatama, kahvatada, kahvatab, kahvatatakse, kahvatage, kahvatas, kahvatanud, kahvatatud
kahvatuma, kahvatuda, kahvatub, kahvatutakse, kahvatuge, kahvatus, kahvatunud, kahvatutud
kaikuma, kaikuda, kaigub|kaikub, kaigutakse|kaikutakse, kaikuge, kaikus, kaikunud, kaigutud|kaikutud
kainendama, kainendada, kainendab, kainendatakse, kainendage, kainendas, kainendanud, kainendatud
kainenema, kaineneda, kaineneb, kainenetakse, kainenege, kainenes, kainenenud, kainenetud
kaitsma, kaitsta, kaitseb, kaitstakse, kaitske, kaitses, kaitsnud, kaitstud
kaitsema, kaitseda, kaitseb, kaitsetakse, kaitsege, kaitses, kaitsenud, kaitsetud
kajastama, kajastada, kajastab, kajastatakse, kajastage, kajastas, kajastanud, kajastatud
kajastuma, kajastuda, kajastub, kajastutakse, kajastuge, kajastus, kajastunud, kajastutud
kaklema, kakelda, kakleb, kakeldakse, kakelge, kakles, kakelnud, kakeldud
kaksitama, kaksitada, kaksitab, kaksitatakse, kaksitage, kaksitas, kaksitanud, kaksitatud
kalastama, kalastada, kalastab, kalastatakse, kalastage, kalastas, kalastanud, kalastatud
kalduma, kalduda, kaldub, kaldutakse, kalduge, kaldus, kaldunud, kaldutud
kalestuma, kalestuda, kalestub, kalestutakse, kalestuge, kalestus, kalestunud, kalestutud
kalgastuma, kalgastuda, kalgastub, kalgastutakse, kalgastuge, kalgastus, kalgastunud, kalgastutud
kalgenduma, kalgenduda, kalgendub, kalgendutakse, kalgenduge, kalgendus, kalgendunud, kalgendutud
kalginema, kalgineda, kalgineb, kalginetakse, kalginege, kalgines, kalginenud, kalginetud
kalgistuma, kalgistuda, kalgistub, kalgistutakse, kalgistuge, kalgistus, kalgistunud, kalgistutud
kallama, kallata, kallab, kallatakse, kallake, kallas, kallanud, kallatud
kallerdama, kallerdada, kallerdab, kallerdatakse, kallerdage, kallerdas, kallerdanud, kallerdatud
kallerduma, kallerduda, kallerdub, kallerdutakse, kallerduge, kallerdus, kallerdunud, kallerdutud
kallinema, kallineda, kallineb, kallinetakse, kallinege, kallines, kallinenud, kallinetud
kallistama, kallistada, kallistab, kallistatakse, kallistage, kallistas, kallistanud, kallistatud
kallutama, kallutada, kallutab, kallutatakse, kallutage, kallutas, kallutanud, kallutatud
kallutuma, kallutuda, kallutub, kallututakse, kallutuge, kallutus, kallutunud, kallututud
kalpsama, kalpsata, kalpsab, kalpsatakse, kalpsake, kalpsas, kalpsanud, kalpsatud
kaltserdama, kaltserdada, kaltserdab, kaltserdatakse, kaltserdage, kaltserdas, kaltserdanud, kaltserdatud
kamarduma, kamarduda, kamardub, kamardutakse, kamarduge, kamardus, kamardunud, kamardutud
kandma, kanda, kannab, kantakse, kandke, kandis, kandnud, kantud
kandideerima, kandideerida, kandideerib, kandideeritakse, kandideerige, kandideeris, kandideerinud, kandideeritud
kanduma, kanduda, kandub, kandutakse, kanduge, kandus, kandunud, kandutud
kangastuma, kangastuda, kangastub, kangastutakse, kangastuge, kangastus, kangastunud, kangastutud
kangema, kangeda, kangeb, kangetakse, kangege, kanges, kangenud, kangetud
kangenema, kangeneda, kangeneb, kangenetakse, kangenege, kangenes, kangenenud, kangenetud
kangestuma, kangestuda, kangestub, kangestutakse, kangestuge, kangestus, kangestunud, kangestutud
kanguma, kanguda, kangub, kangutakse, kanguge, kangus, kangunud, kangutud
kannatama, kannatada, kannatab, kannatatakse, kannatage, kannatas, kannatanud, kannatatud
kanoniseeruma, kanoniseeruda, kanoniseerub, kanoniseerutakse, kanoniseeruge, kanoniseerus, kanoniseerunud, kanoniseerutud
kaotama, kaotada, kaotab, kaotatakse, kaotage, kaotas, kaotanud, kaotatud
kaperdama, kaperdada, kaperdab, kaperdatakse, kaperdage, kaperdas, kaperdanud, kaperdatud
kapitaliseeruma, kapitaliseeruda, kapitaliseerub, kapitaliseerutakse, kapitaliseeruge, kapitaliseerus, kapitaliseerunud, kapitaliseerutud
kapituleeruma, kapituleeruda, kapituleerub, kapituleerutakse, kapituleeruge, kapituleerus, kapituleerunud, kapituleerutud
kappama, kapata, kappab, kapatakse, kapake, kappas, kapanud, kapatud
kapriisitsema, kapriisitseda, kapriisitseb, kapriisitsetakse, kapriisitsege, kapriisitses, kapriisitsenud, kapriisitsetud
kapsastuma, kapsastuda, kapsastub, kapsastutakse, kapsastuge, kapsastus, kapsastunud, kapsastutud
kapselduma, kapselduda, kapseldub, kapseldutakse, kapselduge, kapseldus, kapseldunud, kapseldutud
karamellistuma, karamellistuda, karamellistub, karamellistutakse, karamellistuge, karamellistus, karamellistunud, karamellistutud
karastama, karastada, karastab, karastatakse, karastage, karastas, karastanud, karastatud
karastuma, karastuda, karastub, karastutakse, karastuge, karastus, karastunud, karastutud
karbatama, karbatada, karbatab, karbatatakse, karbatage, karbatas, karbatanud, karbatatud
karestuma, karestuda, karestub, karestutakse, karestuge, karestus, karestunud, karestutud
karetama, karetada, karetab, karetatakse, karetage, karetas, karetanud, karetatud
karglema, karelda, kargleb, kareldakse, karelge, kargles, karelnud, kareldud
karguma, karguda, kargub, kargutakse, karguge, kargus, kargunud, kargutud
kargutama, kargutada, kargutab, kargutatakse, kargutage, kargutas, kargutanud, kargutatud
karistama, karistada, karistab, karistatakse, karistage, karistas, karistanud, karistatud
karjatuma, karjatuda, karjatub, karjatutakse, karjatuge, karjatus, karjatunud, karjatutud
karjutama, karjutada, karjutab, karjutatakse, karjutage, karjutas, karjutanud, karjutatud
karminema, karmineda, karmineb, karminetakse, karminege, karmines, karminenud, karminetud
karmistuma, karmistuda, karmistub, karmistutakse, karmistuge, karmistus, karmistunud, karmistutud
karmuma, karmuda, karmub, karmutakse, karmuge, karmus, karmunud, karmutud
karstuma, karstuda, karstub, karstutakse, karstuge, karstus, karstunud, karstutud
kartma, karta, kardab, kardetakse, kartke, kartis, kartnud, kardetud
karvastuma, karvastuda, karvastub, karvastutakse, karvastuge, karvastus, karvastunud, karvastutud
karvendama, karvendada, karvendab, karvendatakse, karvendage, karvendas, karvendanud, karvendatud
karvustama, karvustada, karvustab, karvustatakse, karvustage, karvustas, karvustanud, karvustatud
kastma, kasta, kastab, kastetakse, kastke, kastis, kastnud, kastetud
kastuma, kastuda, kastub, kastutakse, kastuge, kastus, kastunud, kastutud
kasuma, kasuda, kasub, kasutakse, kasuge, kasus, kasunud, kasutud
kasutama, kasutada, kasutab, kasutatakse, kasutage, kasutas, kasutanud, kasutatud
kasvama, kasvada, kasvab, kasvatakse, kasvage, kasvas, kasvanud, kasvatud
kasvama, kasvada, kasvab, kasvatakse, kasvage, kasvas, kasvanud, kasvatud
kasvatama, kasvatada, kasvatab, kasvatatakse, kasvatage, kasvatas, kasvatanud, kasvatatud
katma, katta, katab, kaetakse, katke, kattis, katnud, kaetud
katapulteeruma, katapulteeruda, katapulteerub, katapulteerutakse, katapulteeruge, katapulteerus, katapulteerunud, katapulteerutud
katkema, katkeda, katkeb, katketakse, katkege, katkes, katkenud, katketud
katkestama, katkestada, katkestab, katkestatakse, katkestage, katkestas, katkestanud, katkestatud
katkestuma, katkestuda, katkestub, katkestutakse, katkestuge, katkestus, katkestunud, katkestutud
katkuma, katkuda, katkub, katkutakse, katkuge, katkus, katkunud, katkutud
katsetama, katsetada, katsetab, katsetatakse, katsetage, katsetas, katsetanud, katsetatud
katsuma, katsuda, katsub, katsutakse, katsuge, katsus, katsunud, katsutud
kattuma, kattuda, kattub, kattutakse, kattuge, kattus, kattunud, kattutud
kaubitsema, kaubitseda, kaubitseb, kaubitsetakse, kaubitsege, kaubitses, kaubitsenud, kaubitsetud
kaugendama, kaugendada, kaugendab, kaugendatakse, kaugendage, kaugendas, kaugendanud, kaugendatud
kaugenema, kaugeneda, kaugeneb, kaugenetakse, kaugenege, kaugenes, kaugenenud, kaugenetud
kauguma, kauguda, kaugub, kaugutakse, kauguge, kaugus, kaugunud, kaugutud
kauninema, kaunineda, kaunineb, kauninetakse, kauninege, kaunines, kauninenud, kauninetud
kaunistama, kaunistada, kaunistab, kaunistatakse, kaunistage, kaunistas, kaunistanud, kaunistatud
kaunitsema, kaunitseda, kaunitseb, kaunitsetakse, kaunitsege, kaunitses, kaunitsenud, kaunitsetud
kauplema, kaubelda, kaupleb, kaubeldakse, kaubelge, kauples, kaubelnud, kaubeldud
kavandama, kavandada, kavandab, kavandatakse, kavandage, kavandas, kavandanud, kavandatud
kavatsema, kavatseda, kavatseb, kavatsetakse, kavatsege, kavatses, kavatsenud, kavatsetud
kebima, kebida, kebib, kebitakse, kebige, kebis, kebinud, kebitud
keelama, keelata, keelab, keelatakse, keelake, keelas, keelanud, keelatud
keelitama, keelitada, keelitab, keelitatakse, keelitage, keelitas, keelitanud, keelitatud
keerama, keerata, keerab, keeratakse, keerake, keeras, keeranud, keeratud
keerduma, keerduda, keerdub, keerdutakse, keerduge, keerdus, keerdunud, keerdutud
keerlema, keerelda, keerleb, keereldakse, keerelge, keerles, keerelnud, keereldud
keerustuma, keerustuda, keerustub, keerustutakse, keerustuge, keerustus, keerustunud, keerustutud
keerutuma, keerutuda, keerutub, keerututakse, keerutuge, keerutus, keerutunud, keerututud
keetma, keeta, keedab, keedetakse, keetke, keetis, keetnud, keedetud
keevituma, keevituda, keevitub, keevitutakse, keevituge, keevitus, keevitunud, keevitutud
kehanema, kehaneda, kehaneb, kehanetakse, kehanege, kehanes, kehanenud, kehanetud
kehastama, kehastada, kehastab, kehastatakse, kehastage, kehastas, kehastanud, kehastatud
kehastuma, kehastuda, kehastub, kehastutakse, kehastuge, kehastus, kehastunud, kehastutud
kehitama, kehitada, kehitab, kehitatakse, kehitage, kehitas, kehitanud, kehitatud
kehkima, kehkida, kehib, kehitakse, kehkige, kehkis, kehkinud, kehitud
kehklema, kehelda, kehkleb, keheldakse, kehelge, kehkles, kehelnud, keheldud
kehtestama, kehtestada, kehtestab, kehtestatakse, kehtestage, kehtestas, kehtestanud, kehtestatud
kehtestuma, kehtestuda, kehtestub, kehtestutakse, kehtestuge, kehtestus, kehtestunud, kehtestutud
kehtima, kehtida, kehtib, kehtitakse, kehtige, kehtis, kehtinud, kehtitud
kehvenema, kehveneda, kehveneb, kehvenetakse, kehvenege, kehvenes, kehvenenud, kehvenetud
kehvuma, kehvuda, kehvub, kehvutakse, kehvuge, kehvus, kehvunud, kehvutud
kekerdama, kekerdada, kekerdab, kekerdatakse, kekerdage, kekerdas, kekerdanud, kekerdatud
kekkama, kekata, kekkab, kekatakse, kekake, kekkas, kekanud, kekatud
keksama, keksata, keksab, keksatakse, keksake, keksas, keksanud, keksatud
keksima, keksida, keksib, keksitakse, keksige, keksis, keksinud, keksitud
kekslema, kekselda, keksleb, kekseldakse, kekselge, keksles, kekselnud, kekseldud
kekutama, kekutada, kekutab, kekutatakse, kekutage, kekutas, kekutanud, kekutatud
kelgutama, kelgutada, kelgutab, kelgutatakse, kelgutage, kelgutas, kelgutanud, kelgutatud
kelkima, kelkida, kelgib, kelgitakse, kelkige, kelkis, kelkinud, kelgitud
kellama, kellata, kellab, kellatakse, kellake, kellas, kellanud, kellatud
kemplema, kembelda, kempleb, kembeldakse, kembelge, kemples, kembelnud, kembeldud
kenastuma, kenastuda, kenastub, kenastutakse, kenastuge, kenastus, kenastunud, kenastutud
kenitama, kenitada, kenitab, kenitatakse, kenitage, kenitas, kenitanud, kenitatud
kenitlema, kenitleda, kenitleb, kenitletakse, kenitlege, kenitles, kenitlenud, kenitletud
kepeldama, kepeldada, kepeldab, kepeldatakse, kepeldage, kepeldas, kepeldanud, kepeldatud
kepsama, kepsata, kepsab, kepsatakse, kepsake, kepsas, kepsanud, kepsatud
kepslema, kepselda, kepsleb, kepseldakse, kepselge, kepsles, kepselnud, kepseldud
kergenema, kergeneda, kergeneb, kergenetakse, kergenege, kergenes, kergenenud, kergenetud
kergitama, kergitada, kergitab, kergitatakse, kergitage, kergitas, kergitanud, kergitatud
kerima, kerida, kerib, keritakse, kerige, keris, kerinud, keritud
kerkima, kerkida, kerkib, kerkitakse, kerkige, kerkis, kerkinud, kerkitud
kerkima, kerkida, kerkib, kerkitakse, kerkige, kerkis, kerkinud, kerkitud
keskendama, keskendada, keskendab, keskendatakse, keskendage, keskendas, keskendanud, keskendatud
keskenduma, keskenduda, keskendub, keskendutakse, keskenduge, keskendus, keskendunud, keskendutud
keskustlema, keskustleda, keskustleb, keskustletakse, keskustlege, keskustles, keskustlenud, keskustletud
kestma, kesta, kestab, kestetakse, kestke, kestis, kestnud, kestetud
kestendama, kestendada, kestendab, kestendatakse, kestendage, kestendas, kestendanud, kestendatud
ketendama, ketendada, ketendab, ketendatakse, ketendage, ketendas, ketendanud, ketendatud
ketistuma, ketistuda, ketistub, ketistutakse, ketistuge, ketistus, ketistunud, ketistutud
ketutama, ketutada, ketutab, ketutatakse, ketutage, ketutas, ketutanud, ketutatud
kibenema, kibeneda, kibeneb, kibenetakse, kibenege, kibenes, kibenenud, kibenetud
kibestuma, kibestuda, kibestub, kibestutakse, kibestuge, kibestus, kibestunud, kibestutud
kibisema, kibiseda, kibiseb, kibisetakse, kibisege, kibises, kibisenud, kibisetud
kibrastuma, kibrastuda, kibrastub, kibrastutakse, kibrastuge, kibrastus, kibrastunud, kibrastutud
kibrutama, kibrutada, kibrutab, kibrutatakse, kibrutage, kibrutas, kibrutanud, kibrutatud
kiduma, kiduda, kidub, kidutakse, kiduge, kidus, kidunud, kidutud
kidunema, kiduneda, kiduneb, kidunetakse, kidunege, kidunes, kidunenud, kidunetud
kidutsema, kidutseda, kidutseb, kidutsetakse, kidutsege, kidutses, kidutsenud, kidutsetud
kigaldama, kigaldada, kigaldab, kigaldatakse, kigaldage, kigaldas, kigaldanud, kigaldatud
kigatsema, kigatseda, kigatseb, kigatsetakse, kigatsege, kigatses, kigatsenud, kigatsetud
kigisema, kigiseda, kigiseb, kigisetakse, kigisege, kigises, kigisenud, kigisetud
kihama, kihada, kihab, kihatakse, kihage, kihas, kihanud, kihatud
kiharduma, kiharduda, kihardub, kihardutakse, kiharduge, kihardus, kihardunud, kihardutud
kihelema, kihelda|kiheleda, kiheleb, kiheldakse|kiheletakse, kihelge|kihelege, kiheles, kihelnud|kihelenud, kiheldud|kiheletud
kiherdama, kiherdada, kiherdab, kiherdatakse, kiherdage, kiherdas, kiherdanud, kiherdatud
kiherduma, kiherduda, kiherdub, kiherdutakse, kiherduge, kiherdus, kiherdunud, kiherdutud
kihisema, kihiseda, kihiseb, kihisetakse, kihisege, kihises, kihisenud, kihisetud
kihistuma, kihistuda, kihistub, kihistutakse, kihistuge, kihistus, kihistunud, kihistutud
kihituma, kihituda, kihitub, kihitutakse, kihituge, kihitus, kihitunud, kihitutud
kihklema, kihelda, kihkleb, kiheldakse, kihelge, kihkles, kihelnud, kiheldud
kihluma, kihluda, kihlub, kihlutakse, kihluge, kihlus, kihlunud, kihlutud
kihutama, kihutada, kihutab, kihutatakse, kihutage, kihutas, kihutanud, kihutatud
kihvatama, kihvatada, kihvatab, kihvatatakse, kihvatage, kihvatas, kihvatanud, kihvatatud
kihvatuma, kihvatuda, kihvatub, kihvatutakse, kihvatuge, kihvatus, kihvatunud, kihvatutud
kiigutama, kiigutada, kiigutab, kiigutatakse, kiigutage, kiigutas, kiigutanud, kiigutatud
kiiklema, kiigelda, kiikleb, kiigeldakse, kiigelge, kiikles, kiigelnud, kiigeldud
kiiksatama, kiiksatada, kiiksatab, kiiksatatakse, kiiksatage, kiiksatas, kiiksatanud, kiiksatatud
kiiksuma, kiiksuda, kiiksub, kiiksutakse, kiiksuge, kiiksus, kiiksunud, kiiksutud
kiiksutama, kiiksutada, kiiksutab, kiiksutatakse, kiiksutage, kiiksutas, kiiksutanud, kiiksutatud
kiikuma, kiikuda, kiigub, kiigutakse, kiikuge, kiikus, kiikunud, kiigutud
kiilama, kiilata, kiilab, kiilatakse, kiilake, kiilas, kiilanud, kiilatud
kiilanema, kiilaneda, kiilaneb, kiilanetakse, kiilanege, kiilanes, kiilanenud, kiilanetud
kiilastuma, kiilastuda, kiilastub, kiilastutakse, kiilastuge, kiilastus, kiilastunud, kiilastutud
kiilduma, kiilduda, kiildub, kiildutakse, kiilduge, kiildus, kiildunud, kiildutud
kiimatuma, kiimatuda, kiimatub, kiimatutakse, kiimatuge, kiimatus, kiimatunud, kiimatutud
kiimeldama, kiimeldada, kiimeldab, kiimeldatakse, kiimeldage, kiimeldas, kiimeldanud, kiimeldatud
kiimlema, kiimelda, kiimleb, kiimeldakse, kiimelge, kiimles, kiimelnud, kiimeldud
kiinduma, kiinduda, kiindub, kiindutakse, kiinduge, kiindus, kiindunud, kiindutud
kiiratama, kiiratada, kiiratab, kiiratatakse, kiiratage, kiiratas, kiiratanud, kiiratatud
kiirendama, kiirendada, kiirendab, kiirendatakse, kiirendage, kiirendas, kiirendanud, kiirendatud
kiirenema, kiireneda, kiireneb, kiirenetakse, kiirenege, kiirenes, kiirenenud, kiirenetud
kiirgama, kiirata, kiirgab, kiiratakse, kiirake, kiirgas, kiiranud, kiiratud
kiirguma, kiirguda, kiirgub, kiirgutakse, kiirguge, kiirgus, kiirgunud, kiirgutud
kiiritama, kiiritada, kiiritab, kiiritatakse, kiiritage, kiiritas, kiiritanud, kiiritatud
kiirituma, kiirituda, kiiritub, kiiritutakse, kiirituge, kiiritus, kiiritunud, kiiritutud
kiirutsema, kiirutseda, kiirutseb, kiirutsetakse, kiirutsege, kiirutses, kiirutsenud, kiirutsetud
kiiskama, kiisata, kiiskab, kiisatakse, kiisake, kiiskas, kiisanud, kiisatud
kiitma, kiita, kiidab, kiidetakse, kiitke, kiitis, kiitnud, kiidetud
kiitlema, kiidelda, kiitleb, kiideldakse, kiidelge, kiitles, kiidelnud, kiideldud
kiitsatama, kiitsatada, kiitsatab, kiitsatatakse, kiitsatage, kiitsatas, kiitsatanud, kiitsatatud
kiitsuma, kiitsuda, kiitsub, kiitsutakse, kiitsuge, kiitsus, kiitsunud, kiitsutud
kiivastuma, kiivastuda, kiivastub, kiivastutakse, kiivastuge, kiivastus, kiivastunud, kiivastutud
kikituma, kikituda, kikitub, kikitutakse, kikituge, kikitus, kikitunud, kikitutud
kilama, kilada, kilab, kilatakse, kilage, kilas, kilanud, kilatud
kilahtama, kilahtada, kilahtab, kilahtatakse, kilahtage, kilahtas, kilahtanud, kilahtatud
kilatsema, kilatseda, kilatseb, kilatsetakse, kilatsege, kilatses, kilatsenud, kilatsetud
kilduma, kilduda, kildub, kildutakse, kilduge, kildus, kildunud, kildutud
kilendama, kilendada, kilendab, kilendatakse, kilendage, kilendas, kilendanud, kilendatud
kilgendama, kilgendada, kilgendab, kilgendatakse, kilgendage, kilgendas, kilgendanud, kilgendatud
kilisema, kiliseda, kiliseb, kilisetakse, kilisege, kilises, kilisenud, kilisetud
kiljatama, kiljatada, kiljatab, kiljatatakse, kiljatage, kiljatas, kiljatanud, kiljatatud
kiljatlema, kiljatleda, kiljatleb, kiljatletakse, kiljatlege, kiljatles, kiljatlenud, kiljatletud
kiljuma, kiljuda, kiljub, kiljutakse, kiljuge, kiljus, kiljunud, kiljutud
kilkama, kilgata, kilkab, kilgatakse, kilgake, kilkas, kilganud, kilgatud
kilksatama, kilksatada, kilksatab, kilksatatakse, kilksatage, kilksatas, kilksatanud, kilksatatud
kilksuma, kilksuda, kilksub, kilksutakse, kilksuge, kilksus, kilksunud, kilksutud
killendama, killendada, killendab, killendatakse, killendage, killendas, killendanud, killendatud
killunema, killuneda, killuneb, killunetakse, killunege, killunes, killunenud, killunetud
killustama, killustada, killustab, killustatakse, killustage, killustas, killustanud, killustatud
killustuma, killustuda, killustub, killustutakse, killustuge, killustus, killustunud, killustutud
kimama, kimada, kimab, kimatakse, kimage, kimas, kimanud, kimatud
kimbutama, kimbutada, kimbutab, kimbutatakse, kimbutage, kimbutas, kimbutanud, kimbutatud
kimplema, kimbelda, kimpleb, kimbeldakse, kimbelge, kimples, kimbelnud, kimbeldud
kindlustama, kindlustada, kindlustab, kindlustatakse, kindlustage, kindlustas, kindlustanud, kindlustatud
kindlustuma, kindlustuda, kindlustub, kindlustutakse, kindlustuge, kindlustus, kindlustunud, kindlustutud
kinduma, kinduda, kindub, kindutakse, kinduge, kindus, kindunud, kindutud
kinkima, kinkida, kingib, kingitakse, kinkige, kinkis, kinkinud, kingitud
kinnistama, kinnistada, kinnistab, kinnistatakse, kinnistage, kinnistas, kinnistanud, kinnistatud
kinnistuma, kinnistuda, kinnistub, kinnistutakse, kinnistuge, kinnistus, kinnistunud, kinnistutud
kinnitama, kinnitada, kinnitab, kinnitatakse, kinnitage, kinnitas, kinnitanud, kinnitatud
kinnituma, kinnituda, kinnitub, kinnitutakse, kinnituge, kinnitus, kinnitunud, kinnitutud
kiperdama, kiperdada, kiperdab, kiperdatakse, kiperdage, kiperdas, kiperdanud, kiperdatud
kipitsema, kipitseda, kipitseb, kipitsetakse, kipitsege, kipitses, kipitsenud, kipitsetud
kippama, kipata, kippab, kipatakse, kipake, kippas, kipanud, kipatud
kipruma, kipruda, kiprub, kiprutakse, kipruge, kiprus, kiprunud, kiprutud
kiratama, kiratada, kiratab, kiratatakse, kiratage, kiratas, kiratanud, kiratatud
kiratsema, kiratseda, kiratseb, kiratsetakse, kiratsege, kiratses, kiratsenud, kiratsetud
kirendama, kirendada, kirendab, kirendatakse, kirendage, kirendas, kirendanud, kirendatud
kiretama, kiretada, kiretab, kiretatakse, kiretage, kiretas, kiretanud, kiretatud
kirgama, kirata, kirgab, kiratakse, kirake, kirgas, kiranud, kiratud
kirgastuma, kirgastuda, kirgastub, kirgastutakse, kirgastuge, kirgastus, kirgastunud, kirgastutud
kirglema, kirgelda, kirgleb, kirgeldakse, kirgelge, kirgles, kirgelnud, kirgeldud
kirguma, kirguda, kirgub, kirgutakse, kirguge, kirgus, kirgunud, kirgutud
kirisema, kiriseda, kiriseb, kirisetakse, kirisege, kirises, kirisenud, kirisetud
kiristama, kiristada, kiristab, kiristatakse, kiristage, kiristas, kiristanud, kiristatud
kirjama, kirjata, kirjab, kirjatakse, kirjake, kirjas, kirjanud, kirjatud
kirjeldama, kirjeldada, kirjeldab, kirjeldatakse, kirjeldage, kirjeldas, kirjeldanud, kirjeldatud
kirjutama, kirjutada, kirjutab, kirjutatakse, kirjutage, kirjutas, kirjutanud, kirjutatud
kirmendama, kirmendada, kirmendab, kirmendatakse, kirmendage, kirmendas, kirmendanud, kirmendatud
kirmetama, kirmetada, kirmetab, kirmetatakse, kirmetage, kirmetas, kirmetanud, kirmetatud
kirmetuma, kirmetuda, kirmetub, kirmetutakse, kirmetuge, kirmetus, kirmetunud, kirmetutud
kirtsutama, kirtsutada, kirtsutab, kirtsutatakse, kirtsutage, kirtsutas, kirtsutanud, kirtsutatud
kiruma, kiruda, kirub, kirutakse, kiruge, kirus, kirunud, kirutud
kirveldama, kirveldada, kirveldab, kirveldatakse, kirveldage, kirveldas, kirveldanud, kirveldatud
kirvendama, kirvendada, kirvendab, kirvendatakse, kirvendage, kirvendas, kirvendanud, kirvendatud
kisama, kisada, kisab, kisatakse, kisage, kisas, kisanud, kisatud
kisendama, kisendada, kisendab, kisendatakse, kisendage, kisendas, kisendanud, kisendatud
kisklema, kiselda, kiskleb, kiseldakse, kiselge, kiskles, kiselnud, kiseldud
kiskuma, kiskuda, kisub, kistakse, kiskuge, kiskus, kiskunud, kistud
kissituma, kissituda, kissitub, kissitutakse, kissituge, kissitus, kissitunud, kissitutud
kitsenema, kitseneda, kitseneb, kitsenetakse, kitsenege, kitsenes, kitsenenud, kitsenetud
kitsinema, kitsineda, kitsineb, kitsinetakse, kitsinege, kitsines, kitsinenud, kitsinetud
kitsuma, kitsuda, kitsub, kitsutakse, kitsuge, kitsus, kitsunud, kitsutud
kiuksatama, kiuksatada, kiuksatab, kiuksatatakse, kiuksatage, kiuksatas, kiuksatanud, kiuksatatud
kiuksuma, kiuksuda, kiuksub, kiuksutakse, kiuksuge, kiuksus, kiuksunud, kiuksutud
kiunahtama, kiunahtada, kiunahtab, kiunahtatakse, kiunahtage, kiunahtas, kiunahtanud, kiunahtatud
kiunatama, kiunatada, kiunatab, kiunatatakse, kiunatage, kiunatas, kiunatanud, kiunatatud
kiunuma, kiunuda, kiunub, kiunutakse, kiunuge, kiunus, kiununud, kiunutud
kiunutama, kiunutada, kiunutab, kiunutatakse, kiunutage, kiunutas, kiunutanud, kiunutatud
kiusama, kiusata, kiusab, kiusatakse, kiusake, kiusas, kiusanud, kiusatud
kiuslema, kiuselda, kiusleb, kiuseldakse, kiuselge, kiusles, kiuselnud, kiuseldud
kivinema, kivineda, kivineb, kivinetakse, kivinege, kivines, kivinenud, kivinetud
