aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
anuma, anuda, anub, anutakse, anuge, anus, anunud, anutud
apelleerima, apelleerida, apelleerib, apelleeritakse, apelleerige, apelleeris, apelleerinud, apelleeritud
aplodeerima, aplodeerida, aplodeerib, aplodeeritakse, aplodeerige, aplodeeris, aplodeerinud, aplodeeritud
arabiseeruma, arabiseeruda, arabiseerub, arabiseerutakse, arabiseeruge, arabiseerus, arabiseerunud, arabiseerutud
arastuma, arastuda, arastub, arastutakse, arastuge, arastus, arastunud, arastutud
arbuma, arbuda, arbub, arbutakse, arbuge, arbus, arbunud, arbutud
arbutama, arbutada, arbutab, arbutatakse, arbutage, arbutas, arbutanud, arbutatud
arendama, arendada, arendab, arendatakse, arendage, arendas, arendanud, arendatud
arenema, areneda, areneb, arenetakse, arenege, arenes, arenenud, arenetud
argipäevastuma, argipäevastuda, argipäevastub, argipäevastutakse, argipäevastuge, argipäevastus, argipäevastunud, argipäevastutud
argistuma, argistuda, argistub, argistutakse, argistuge, argistus, argistunud, argistutud
argumenteerima, argumenteerida, argumenteerib, argumenteeritakse, argumenteerige, argumenteeris, argumenteerinud, argumenteeritud
armastama, armastada, armastab, armastatakse, armastage, armastas, armastanud, armastatud
armatsema, armatseda, armatseb, armatsetakse, armatsege, armatses, armatsenud, armatsetud
armistuma, armistuda, armistub, armistutakse, armistuge, armistus, armistunud, armistutud
armuma, armuda, armub, armutakse, armuge, armus, armunud, armutud
armustama, armustada, armustab, armustatakse, armustage, armustas, armustanud, armustatud
arstima, arstida, arstib, arstitakse, arstige, arstis, arstinud, arstitud
arvama, arvata, arvab, arvatakse, arvake, arvas, arvanud, arvatud
arvestama, arvestada, arvestab, arvestatakse, arvestage, arvestas, arvestanud, arvestatud
arvustama, arvustada, arvustab, arvustatakse, arvustage, arvustas, arvustanud, arvustatud
asendama, asendada, asendab, asendatakse, asendage, asendas, asendanud, asendatud
asenduma, asenduda, asendub, asendutakse, asenduge, asendus, asendunud, asendutud
asenema, aseneda, aseneb, asenetakse, asenege, asenes, asenenud, asenetud
asetama, asetada, asetab, asetatakse, asetage, asetas, asetanud, asetatud
asetuma, asetuda, asetub, asetutakse, asetuge, asetus, asetunud, asetutud
asjastuma, asjastuda, asjastub, asjastutakse, asjastuge, asjastus, asjastunud, asjastutud
askeldama, askeldada, askeldab, askeldatakse, askeldage, askeldas, askeldanud, askeldatud
assimileeruma, assimileeruda, assimileerub, assimileerutakse, assimileeruge, assimileerus, assimileerunud, assimileerutud
assotsieeruma, assotsieeruda, assotsieerub, assotsieerutakse, assotsieeruge, assotsieerus, assotsieerunud, assotsieerutud
asuma, asuda, asub, asutakse, asuge, asus, asunud, asutud
asunema, asuneda, asuneb, asunetakse, asunege, asunes, asunenud, asunetud
asustama, asustada, asustab, asustatakse, asustage, asustas, asustanud, asustatud
asutama, asutada, asutab, asutatakse, asutage, asutas, asutanud, asutatud
atakeerima, atakeerida, atakeerib, atakeeritakse, atakeerige, atakeeris, atakeerinud, atakeeritud
atrofeeruma, atrofeeruda, atrofeerub, atrofeerutakse, atrofeeruge, atrofeerus, atrofeerunud, atrofeerutud
aurama, aurata, aurab, auratakse, aurake, auras, auranud, auratud
auruma, auruda, aurub, aurutakse, auruge, aurus, aurunud, aurutud
aurustuma, aurustuda, aurustub, aurustutakse, aurustuge, aurustus, aurustunud, aurustutud
auskulteerima, auskulteerida, auskulteerib, auskulteeritakse, auskulteerige, auskulteeris, auskulteerinud, auskulteeritud
austama, austada, austab, austatakse, austage, austas, austanud, austatud
autasustama, autasustada, autasustab, autasustatakse, autasustage, autasustas, autasustanud, autasustatud
automatiseeruma, automatiseeruda, automatiseerub, automatiseerutakse, automatiseeruge, automatiseerus, automatiseerunud, automatiseerutud
avama, avada, avab, avatakse, avage, avas, avanud, avatud
avakueeruma, avakueeruda, avakueerub, avakueerutakse, avakueeruge, avakueerus, avakueerunud, avakueerutud
